START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-03-31 09:26:45,2022-03-31 09:28:35,HLB_Other,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 00:00:03,2022-03-31 00:01:53
2022-03-31 09:28:43,2022-03-31 09:49:14,,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 00:02:01,2022-03-31 00:22:32
2022-03-31 09:49:22,2022-03-31 10:19:00,,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 00:22:40,2022-03-31 00:52:18
2022-03-31 10:19:08,2022-03-31 11:07:25,,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 00:52:26,2022-03-31 01:40:43
2022-03-31 11:07:29,2022-03-31 11:09:42,Doing_Common_Housework_Light, Cleaning,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 01:40:47,2022-03-31 01:43:00
2022-03-31 11:09:45,2022-03-31 11:10:43,Eating/Dining,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 01:43:03,2022-03-31 01:44:01
2022-03-31 11:10:48,2022-03-31 11:11:25,,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 01:44:06,2022-03-31 01:44:43
2022-03-31 11:11:27,2022-03-31 11:11:35,Cooking/Prepping_Food,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 01:44:45,2022-03-31 01:44:53
2022-03-31 11:11:39,2022-03-31 11:12:51,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 01:44:57,2022-03-31 01:46:09
2022-03-31 11:12:59,2022-03-31 11:24:42,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 01:46:17,2022-03-31 01:58:00
2022-03-31 11:24:46,2022-03-31 11:27:23,Using_Computer/Screen, Eating/Dining, WatchingTV/Movies,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 01:58:04,2022-03-31 02:00:41
2022-03-31 11:27:29,2022-03-31 11:27:45,Using_Computer/Screen, Eating/Dining,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 02:00:47,2022-03-31 02:01:03
2022-03-31 11:27:49,2022-03-31 11:28:17,Using_Computer/Screen, Eating/Dining, WatchingTV/Movies,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 02:01:07,2022-03-31 02:01:35
2022-03-31 11:28:21,2022-03-31 11:37:18,Using_Computer/Screen, Eating/Dining,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 02:01:39,2022-03-31 02:10:36
2022-03-31 11:37:25,2022-03-31 11:37:47,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 02:10:43,2022-03-31 02:11:05
2022-03-31 11:37:53,2022-03-31 11:48:26,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 02:11:11,2022-03-31 02:21:44
2022-03-31 11:48:39,2022-03-31 12:14:28,,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 02:21:57,2022-03-31 02:47:46
2022-03-31 12:14:35,2022-03-31 12:47:29,,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 02:47:53,2022-03-31 03:20:47
2022-03-31 12:47:33,2022-03-31 13:05:56,,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 03:20:51,2022-03-31 03:39:14
2022-03-31 13:06:02,2022-03-31 13:09:19,,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 03:39:20,2022-03-31 03:42:37
2022-03-31 13:09:25,2022-03-31 13:24:20,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 03:42:43,2022-03-31 03:57:38
2022-03-31 13:24:24,2022-03-31 13:27:37,Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 03:57:42,2022-03-31 04:00:55
2022-03-31 13:27:41,2022-03-31 13:27:57,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 04:00:59,2022-03-31 04:01:15
2022-03-31 13:27:59,2022-03-31 13:28:18,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 04:01:17,2022-03-31 04:01:36
2022-03-31 13:28:22,2022-03-31 13:28:40,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 04:01:40,2022-03-31 04:01:58
2022-03-31 13:28:45,2022-03-31 13:29:12,In_Transit_Active, Riding_Elevator_Down,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 04:02:03,2022-03-31 04:02:30
2022-03-31 13:29:13,2022-03-31 13:29:23,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 04:02:31,2022-03-31 04:02:41
2022-03-31 13:29:24,2022-03-31 13:29:54,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 04:02:42,2022-03-31 04:03:12
2022-03-31 13:29:56,2022-03-31 13:38:16,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 04:03:14,2022-03-31 04:11:34
2022-03-31 13:38:18,2022-03-31 13:38:30,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 04:11:36,2022-03-31 04:11:48
2022-03-31 13:38:32,2022-03-31 13:38:56,In_Transit_Active, Riding_Elevator_Up,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 04:11:50,2022-03-31 04:12:14
2022-03-31 13:38:59,2022-03-31 13:39:28,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 04:12:17,2022-03-31 04:12:46
2022-03-31 13:39:32,2022-03-31 13:44:18,Meeting_Formal_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 04:12:50,2022-03-31 04:17:36
2022-03-31 13:44:22,2022-03-31 13:44:49,Meeting_Formal_Gathering_In_Person, Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 04:17:40,2022-03-31 04:18:07
2022-03-31 13:44:56,2022-03-31 13:45:26,Meeting_Formal_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 04:18:14,2022-03-31 04:18:44
2022-03-31 13:45:31,2022-03-31 13:47:05,Meeting_Formal_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 04:18:49,2022-03-31 04:20:23
2022-03-31 13:47:08,2022-03-31 13:47:26,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 04:20:26,2022-03-31 04:20:44
2022-03-31 13:47:31,2022-03-31 13:47:41,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 04:20:49,2022-03-31 04:20:59
2022-03-31 13:47:47,2022-03-31 13:48:06,In_Transit_Active, Riding_Elevator_Down,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 04:21:05,2022-03-31 04:21:24
2022-03-31 13:48:10,2022-03-31 13:48:19,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 04:21:28,2022-03-31 04:21:37
2022-03-31 13:48:23,2022-03-31 13:56:10,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 04:21:41,2022-03-31 04:29:28
2022-03-31 13:56:15,2022-03-31 13:56:27,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 04:29:33,2022-03-31 04:29:45
2022-03-31 13:56:28,2022-03-31 13:56:39,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 04:29:46,2022-03-31 04:29:57
2022-03-31 13:56:41,2022-03-31 13:58:25,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 04:29:59,2022-03-31 04:31:43
2022-03-31 13:58:28,2022-03-31 13:58:40,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 04:31:46,2022-03-31 04:31:58
2022-03-31 13:58:43,2022-03-31 13:58:52,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 04:32:01,2022-03-31 04:32:10
2022-03-31 13:58:55,2022-03-31 14:02:23,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 04:32:13,2022-03-31 04:35:41
2022-03-31 14:02:26,2022-03-31 14:03:13,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 04:35:44,2022-03-31 04:36:31
2022-03-31 14:03:16,2022-03-31 14:04:26,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 04:36:34,2022-03-31 04:37:44
2022-03-31 14:04:32,2022-03-31 14:05:01,In_Transit_Active, Riding_Elevator_Up,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 04:37:50,2022-03-31 04:38:19
2022-03-31 14:05:05,2022-03-31 14:05:39,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 04:38:23,2022-03-31 04:38:57
2022-03-31 14:05:48,2022-03-31 14:09:19,Packing/Unpacking_Something, Cleaning,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 04:39:06,2022-03-31 04:42:37
2022-03-31 14:09:22,2022-03-31 14:19:07,Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 04:42:40,2022-03-31 04:52:25
2022-03-31 14:19:11,2022-03-31 14:34:10,,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 04:52:29,2022-03-31 05:07:28
2022-03-31 14:34:25,2022-03-31 14:35:35,Cleaning,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 05:07:43,2022-03-31 05:08:53
2022-03-31 14:35:39,2022-03-31 14:36:53,,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 05:08:57,2022-03-31 05:10:11
2022-03-31 14:36:57,2022-03-31 14:40:59,Using_Computer/Screen, WatchingTV/Movies,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 05:10:15,2022-03-31 05:14:17
2022-03-31 14:41:05,2022-03-31 14:42:04,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 05:14:23,2022-03-31 05:15:22
2022-03-31 14:42:17,2022-03-31 15:03:31,Using_Computer/Screen, Meeting_Virtual,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 05:15:35,2022-03-31 05:36:49
2022-03-31 15:03:38,2022-03-31 15:19:26,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 05:36:56,2022-03-31 05:52:44
2022-03-31 15:19:36,2022-03-31 15:48:32,Using_Computer/Screen, WatchingTV/Movies,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 05:52:54,2022-03-31 06:21:50
2022-03-31 15:48:42,2022-03-31 15:53:04,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 06:22:00,2022-03-31 06:26:22
2022-03-31 15:53:12,2022-03-31 15:54:18,,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 06:26:30,2022-03-31 06:27:36
2022-03-31 15:54:35,2022-03-31 16:03:41,Using_Computer/Screen, WatchingTV/Movies,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 06:27:53,2022-03-31 06:36:59
2022-03-31 16:03:55,2022-03-31 16:05:03,Cleaning,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 06:37:13,2022-03-31 06:38:21
2022-03-31 16:05:19,2022-03-31 16:07:09,Using_Computer/Screen, WatchingTV/Movies,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 06:38:37,2022-03-31 06:40:27
2022-03-31 16:07:15,2022-03-31 16:14:24,Eating/Dining,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 06:40:33,2022-03-31 06:47:42
2022-03-31 16:14:40,2022-03-31 16:19:00,Eating/Dining, Using_Computer/Screen, WatchingTV/Movies,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 06:47:58,2022-03-31 06:52:18
2022-03-31 16:19:14,2022-03-31 16:30:07,Using_Computer/Screen, WatchingTV/Movies,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 06:52:32,2022-03-31 07:03:25
2022-03-31 16:30:31,2022-03-31 17:49:40,Using_Computer/Screen, WatchingTV/Movies,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 07:03:49,2022-03-31 08:22:58
2022-03-31 17:50:03,2022-03-31 17:51:31,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 08:23:21,2022-03-31 08:24:49
2022-03-31 17:51:54,2022-03-31 18:06:21,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 08:25:12,2022-03-31 08:39:39
2022-03-31 18:06:46,2022-03-31 18:09:14,,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 08:40:04,2022-03-31 08:42:32
2022-03-31 18:09:30,2022-03-31 18:11:29,Cleaning,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 08:42:48,2022-03-31 08:44:47
2022-03-31 18:11:42,2022-03-31 18:15:13,Eating/Dining, Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 08:45:00,2022-03-31 08:48:31
2022-03-31 18:15:36,2022-03-31 18:35:36,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 08:48:54,2022-03-31 09:08:54
2022-03-31 18:36:09,2022-03-31 18:46:41,Using_Computer/Screen, Eating/Dining, Meeting_Virtual,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 09:09:27,2022-03-31 09:19:59
2022-03-31 18:47:05,2022-03-31 18:52:58,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 09:20:23,2022-03-31 09:26:16
2022-03-31 18:53:12,2022-03-31 19:04:48,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 09:26:30,2022-03-31 09:38:06
2022-03-31 19:05:01,2022-03-31 19:05:40,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 09:38:19,2022-03-31 09:38:58
2022-03-31 19:05:53,2022-03-31 19:29:45,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-03-31 09:39:11,2022-03-31 10:03:03
