START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-04-01 08:04:09,2022-04-01 08:05:48,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR,2022-04-01 00:00:00,2022-04-01 00:01:39
2022-04-01 08:05:48,2022-04-01 08:06:19,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-01 00:01:39,2022-04-01 00:02:10
2022-04-01 08:06:19,2022-04-01 09:01:55,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR,2022-04-01 00:02:10,2022-04-01 00:57:46
2022-04-01 09:01:55,2022-04-01 09:18:27,,annotator,HIGH LEVEL BEHAVIOR,2022-04-01 00:57:46,2022-04-01 01:14:18
2022-04-01 09:18:27,2022-04-01 09:31:18,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR,2022-04-01 01:14:18,2022-04-01 01:27:09
2022-04-01 09:31:18,2022-04-01 09:36:27,,annotator,HIGH LEVEL BEHAVIOR,2022-04-01 01:27:09,2022-04-01 01:32:18
2022-04-01 09:36:27,2022-04-01 09:36:41,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR,2022-04-01 01:32:18,2022-04-01 01:32:32
2022-04-01 09:36:41,2022-04-01 09:59:01,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR,2022-04-01 01:32:32,2022-04-01 01:54:52
2022-04-01 09:59:01,2022-04-01 10:22:15,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-01 01:54:52,2022-04-01 02:18:06
2022-04-01 10:22:15,2022-04-01 10:24:26,,annotator,HIGH LEVEL BEHAVIOR,2022-04-01 02:18:06,2022-04-01 02:20:17
2022-04-01 10:24:46,2022-04-01 10:54:21,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR,2022-04-01 02:20:37,2022-04-01 02:50:12
2022-04-01 10:54:21,2022-04-01 10:55:22,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR,2022-04-01 02:50:12,2022-04-01 02:51:13
2022-04-01 10:55:22,2022-04-01 10:56:01,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR,2022-04-01 02:51:13,2022-04-01 02:51:52
2022-04-01 10:56:01,2022-04-01 10:56:29,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-01 02:51:52,2022-04-01 02:52:20
2022-04-01 10:56:46,2022-04-01 10:57:11,Riding_Elevator_Down,annotator,HIGH LEVEL BEHAVIOR,2022-04-01 02:52:37,2022-04-01 02:53:02
2022-04-01 10:57:11,2022-04-01 10:57:20,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-01 02:53:02,2022-04-01 02:53:11
2022-04-01 10:57:20,2022-04-01 11:06:11,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-01 02:53:11,2022-04-01 03:02:02
2022-04-01 11:06:11,2022-04-01 11:06:31,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-01 03:02:02,2022-04-01 03:02:22
2022-04-01 11:06:40,2022-04-01 11:07:00,Riding_Elevator_Up,annotator,HIGH LEVEL BEHAVIOR,2022-04-01 03:02:31,2022-04-01 03:02:51
2022-04-01 11:07:00,2022-04-01 11:07:27,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-01 03:02:51,2022-04-01 03:03:18
2022-04-01 11:07:27,2022-04-01 11:08:22,Dressing/Undressing, Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR,2022-04-01 03:03:18,2022-04-01 03:04:13
2022-04-01 11:08:22,2022-04-01 11:08:41,Dressing/Undressing,annotator,HIGH LEVEL BEHAVIOR,2022-04-01 03:04:13,2022-04-01 03:04:32
