START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-04-09 11:52:32,2022-04-09 11:53:00,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR,2022-04-09 00:00:00,2022-04-09 00:00:28
2022-04-09 11:53:00,2022-04-09 11:53:47,,annotator,HIGH LEVEL BEHAVIOR,2022-04-09 00:00:28,2022-04-09 00:01:15
2022-04-09 11:53:47,2022-04-09 11:55:43,,annotator,HIGH LEVEL BEHAVIOR,2022-04-09 00:01:15,2022-04-09 00:03:11
2022-04-09 11:55:43,2022-04-09 11:56:06,,annotator,HIGH LEVEL BEHAVIOR,2022-04-09 00:03:11,2022-04-09 00:03:34
2022-04-09 11:56:06,2022-04-09 11:56:57,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR,2022-04-09 00:03:34,2022-04-09 00:04:25
2022-04-09 11:56:57,2022-04-09 11:57:43,,annotator,HIGH LEVEL BEHAVIOR,2022-04-09 00:04:25,2022-04-09 00:05:11
2022-04-09 11:57:43,2022-04-09 11:58:20,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-09 00:05:11,2022-04-09 00:05:48
2022-04-09 11:58:20,2022-04-09 11:58:45,Riding_Elevator_Down,annotator,HIGH LEVEL BEHAVIOR,2022-04-09 00:05:48,2022-04-09 00:06:13
2022-04-09 11:58:45,2022-04-09 11:59:07,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-09 00:06:13,2022-04-09 00:06:35
2022-04-09 11:59:07,2022-04-09 12:04:21,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-09 00:06:35,2022-04-09 00:11:49
2022-04-09 12:04:21,2022-04-09 12:28:20,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-09 00:11:49,2022-04-09 00:35:48
2022-04-09 12:28:20,2022-04-09 12:29:20,,annotator,HIGH LEVEL BEHAVIOR,2022-04-09 00:35:48,2022-04-09 00:36:48
2022-04-09 12:29:22,2022-04-09 12:32:23,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-09 00:36:50,2022-04-09 00:39:51
2022-04-09 12:32:23,2022-04-09 12:32:59,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-09 00:39:51,2022-04-09 00:40:27
2022-04-09 12:32:59,2022-04-09 12:33:23,Riding_Elevator_Up,annotator,HIGH LEVEL BEHAVIOR,2022-04-09 00:40:27,2022-04-09 00:40:51
2022-04-09 12:33:26,2022-04-09 12:34:05,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-09 00:40:54,2022-04-09 00:41:33
2022-04-09 12:34:05,2022-04-09 12:36:29,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-04-09 00:41:33,2022-04-09 00:43:57
2022-04-09 12:36:29,2022-04-09 12:37:13,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR,2022-04-09 00:43:57,2022-04-09 00:44:41
2022-04-09 12:37:13,2022-04-09 12:41:02,WatchingTV/Movies,annotator,HIGH LEVEL BEHAVIOR,2022-04-09 00:44:41,2022-04-09 00:48:30
2022-04-09 12:41:02,2022-04-09 12:41:12,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-09 00:48:30,2022-04-09 00:48:40
2022-04-09 12:41:12,2022-04-09 12:41:55,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR,2022-04-09 00:48:40,2022-04-09 00:49:23
2022-04-09 12:41:55,2022-04-09 12:42:08,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-09 00:49:23,2022-04-09 00:49:36
2022-04-09 12:42:08,2022-04-09 12:42:50,,annotator,HIGH LEVEL BEHAVIOR,2022-04-09 00:49:36,2022-04-09 00:50:18
2022-04-09 12:42:50,2022-04-09 12:42:59,,annotator,HIGH LEVEL BEHAVIOR,2022-04-09 00:50:18,2022-04-09 00:50:27
2022-04-09 12:43:11,2022-04-09 12:44:27,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR,2022-04-09 00:50:39,2022-04-09 00:51:55
2022-04-09 12:44:27,2022-04-09 12:44:38,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-09 00:51:55,2022-04-09 00:52:06
2022-04-09 12:44:38,2022-04-09 12:46:27,Meeting _Social_Gathering_In_Person, WatchingTV/Movies,annotator,HIGH LEVEL BEHAVIOR,2022-04-09 00:52:06,2022-04-09 00:53:55
2022-04-09 12:46:27,2022-04-09 12:46:42,Meeting _Social_Gathering_In_Person, WatchingTV/Movies,annotator,HIGH LEVEL BEHAVIOR,2022-04-09 00:53:55,2022-04-09 00:54:10
2022-04-09 12:46:42,2022-04-09 13:22:37,Meeting _Social_Gathering_In_Person, WatchingTV/Movies,annotator,HIGH LEVEL BEHAVIOR,2022-04-09 00:54:10,2022-04-09 01:30:05
2022-04-09 13:22:37,2022-04-09 13:22:59,Meeting _Social_Gathering_In_Person, WatchingTV/Movies,annotator,HIGH LEVEL BEHAVIOR,2022-04-09 01:30:05,2022-04-09 01:30:27
2022-04-09 13:22:59,2022-04-09 13:25:21,Meeting _Social_Gathering_In_Person, WatchingTV/Movies,annotator,HIGH LEVEL BEHAVIOR,2022-04-09 01:30:27,2022-04-09 01:32:49
2022-04-09 13:25:25,2022-04-09 13:26:07,Meeting _Social_Gathering_In_Person, WatchingTV/Movies,annotator,HIGH LEVEL BEHAVIOR,2022-04-09 01:32:53,2022-04-09 01:33:35
2022-04-09 13:26:13,2022-04-09 13:44:51,Meeting _Social_Gathering_In_Person, WatchingTV/Movies,annotator,HIGH LEVEL BEHAVIOR,2022-04-09 01:33:41,2022-04-09 01:52:19
2022-04-09 13:44:54,2022-04-09 13:45:54,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-04-09 01:52:22,2022-04-09 01:53:22
2022-04-09 13:45:58,2022-04-09 13:50:26,Meeting _Social_Gathering_In_Person, WatchingTV/Movies,annotator,HIGH LEVEL BEHAVIOR,2022-04-09 01:53:26,2022-04-09 01:57:54
2022-04-09 13:50:30,2022-04-09 13:51:15,Doing_Common_Housework,annotator,HIGH LEVEL BEHAVIOR,2022-04-09 01:57:58,2022-04-09 01:58:43
2022-04-09 13:51:19,2022-04-09 13:53:07,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-09 01:58:47,2022-04-09 02:00:35
2022-04-09 13:53:10,2022-04-09 13:53:30,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-09 02:00:38,2022-04-09 02:00:58
2022-04-09 13:53:32,2022-04-09 13:57:07,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-09 02:01:00,2022-04-09 02:04:35
2022-04-09 13:57:21,2022-04-09 13:58:41,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-09 02:04:49,2022-04-09 02:06:09
2022-04-09 13:58:41,2022-04-09 14:00:46,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-09 02:06:09,2022-04-09 02:08:14
2022-04-09 14:00:47,2022-04-09 14:02:56,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-09 02:08:15,2022-04-09 02:10:24
2022-04-09 14:03:05,2022-04-09 14:09:21,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-09 02:10:33,2022-04-09 02:16:49
2022-04-09 14:09:22,2022-04-09 14:09:43,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-09 02:16:50,2022-04-09 02:17:11
2022-04-09 14:09:51,2022-04-09 14:33:10,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-09 02:17:19,2022-04-09 02:40:38
