START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-04-10 06:24:00,2022-04-10 06:24:16,Synchronizing_Sensors,annotator,PA TYPE,2022-04-10 00:00:00,2022-04-10 00:00:16
2022-04-10 06:24:16,2022-04-10 06:24:55,Puttering_Around,annotator,PA TYPE,2022-04-10 00:00:16,2022-04-10 00:00:55
2022-04-10 06:24:55,2022-04-10 06:25:09,Puttering_Around,annotator,PA TYPE,2022-04-10 00:00:55,2022-04-10 00:01:09
2022-04-10 06:25:09,2022-04-10 06:26:00,Standing_With_Movement,annotator,PA TYPE,2022-04-10 00:01:09,2022-04-10 00:02:00
2022-04-10 06:26:00,2022-04-10 06:26:21,Walking_Down_Stairs,annotator,PA TYPE,2022-04-10 00:02:00,2022-04-10 00:02:21
2022-04-10 06:26:21,2022-04-10 06:26:29,Walking,annotator,PA TYPE,2022-04-10 00:02:21,2022-04-10 00:02:29
2022-04-10 06:26:29,2022-04-10 06:26:54,Standing_With_Movement,annotator,PA TYPE,2022-04-10 00:02:29,2022-04-10 00:02:54
2022-04-10 06:26:54,2022-04-10 06:26:59,Walking,annotator,PA TYPE,2022-04-10 00:02:54,2022-04-10 00:02:59
2022-04-10 06:26:59,2022-04-10 06:27:32,Standing_With_Movement,annotator,PA TYPE,2022-04-10 00:02:59,2022-04-10 00:03:32
2022-04-10 06:27:32,2022-04-10 06:27:50,Walking,annotator,PA TYPE,2022-04-10 00:03:32,2022-04-10 00:03:50
2022-04-10 06:27:50,2022-04-10 06:37:02,Walking,annotator,PA TYPE,2022-04-10 00:03:50,2022-04-10 00:13:02
2022-04-10 06:37:02,2022-04-10 06:37:46,Standing_With_Movement,annotator,PA TYPE,2022-04-10 00:13:02,2022-04-10 00:13:46
2022-04-10 06:37:46,2022-04-10 06:38:20,Puttering_Around,annotator,PA TYPE,2022-04-10 00:13:46,2022-04-10 00:14:20
2022-04-10 06:38:20,2022-04-10 06:38:47,Walking,annotator,PA TYPE,2022-04-10 00:14:20,2022-04-10 00:14:47
2022-04-10 06:38:47,2022-04-10 06:39:00,Standing_With_Movement,annotator,PA TYPE,2022-04-10 00:14:47,2022-04-10 00:15:00
2022-04-10 06:39:00,2022-04-10 06:39:57,Sitting_With_Movement,annotator,PA TYPE,2022-04-10 00:15:00,2022-04-10 00:15:57
2022-04-10 06:39:57,2022-04-10 06:40:28,Standing_With_Movement,annotator,PA TYPE,2022-04-10 00:15:57,2022-04-10 00:16:28
2022-04-10 06:40:28,2022-04-10 07:42:01,Sitting_With_Movement,annotator,PA TYPE,2022-04-10 00:16:28,2022-04-10 01:18:01
2022-04-10 07:42:01,2022-04-10 07:42:14,Puttering_Around,annotator,PA TYPE,2022-04-10 01:18:01,2022-04-10 01:18:14
2022-04-10 07:42:14,2022-04-10 08:08:40,Sitting_With_Movement,annotator,PA TYPE,2022-04-10 01:18:14,2022-04-10 01:44:40
2022-04-10 08:08:40,2022-04-10 08:08:51,Sitting_With_Movement,annotator,PA TYPE,2022-04-10 01:44:40,2022-04-10 01:44:51
2022-04-10 08:08:51,2022-04-10 08:12:24,Sitting_With_Movement,annotator,PA TYPE,2022-04-10 01:44:51,2022-04-10 01:48:24
2022-04-10 08:12:24,2022-04-10 08:13:05,Sitting_With_Movement,annotator,PA TYPE,2022-04-10 01:48:24,2022-04-10 01:49:05
2022-04-10 08:13:05,2022-04-10 08:26:14,Sitting_With_Movement,annotator,PA TYPE,2022-04-10 01:49:05,2022-04-10 02:02:14
2022-04-10 08:26:14,2022-04-10 08:26:55,Sitting_With_Movement,annotator,PA TYPE,2022-04-10 02:02:14,2022-04-10 02:02:55
2022-04-10 08:26:55,2022-04-10 08:27:08,Sitting_With_Movement,annotator,PA TYPE,2022-04-10 02:02:55,2022-04-10 02:03:08
2022-04-10 08:27:08,2022-04-10 08:27:45,Sitting_With_Movement,annotator,PA TYPE,2022-04-10 02:03:08,2022-04-10 02:03:45
2022-04-10 08:27:45,2022-04-10 08:28:58,Sitting_With_Movement,annotator,PA TYPE,2022-04-10 02:03:45,2022-04-10 02:04:58
2022-04-10 08:28:58,2022-04-10 08:29:41,Sitting_With_Movement,annotator,PA TYPE,2022-04-10 02:04:58,2022-04-10 02:05:41
2022-04-10 08:29:41,2022-04-10 08:29:59,Sitting_With_Movement,annotator,PA TYPE,2022-04-10 02:05:41,2022-04-10 02:05:59
2022-04-10 08:29:59,2022-04-10 08:30:44,Sitting_With_Movement,annotator,PA TYPE,2022-04-10 02:05:59,2022-04-10 02:06:44
2022-04-10 08:30:44,2022-04-10 08:31:01,Sitting_With_Movement,annotator,PA TYPE,2022-04-10 02:06:44,2022-04-10 02:07:01
2022-04-10 08:31:01,2022-04-10 08:31:31,Sitting_With_Movement,annotator,PA TYPE,2022-04-10 02:07:01,2022-04-10 02:07:31
2022-04-10 08:31:31,2022-04-10 08:37:12,Sitting_With_Movement,annotator,PA TYPE,2022-04-10 02:07:31,2022-04-10 02:13:12
2022-04-10 08:37:12,2022-04-10 08:37:30,Sitting_With_Movement,annotator,PA TYPE,2022-04-10 02:13:12,2022-04-10 02:13:30
2022-04-10 08:37:30,2022-04-10 08:56:09,Sitting_With_Movement,annotator,PA TYPE,2022-04-10 02:13:30,2022-04-10 02:32:09
2022-04-10 08:56:09,2022-04-10 08:56:18,Sitting_With_Movement,annotator,PA TYPE,2022-04-10 02:32:09,2022-04-10 02:32:18
2022-04-10 08:56:18,2022-04-10 08:57:41,Sitting_With_Movement,annotator,PA TYPE,2022-04-10 02:32:18,2022-04-10 02:33:41
2022-04-10 08:57:41,2022-04-10 08:58:52,Sitting_With_Movement,annotator,PA TYPE,2022-04-10 02:33:41,2022-04-10 02:34:52
2022-04-10 08:58:52,2022-04-10 09:12:48,Sitting_With_Movement,annotator,PA TYPE,2022-04-10 02:34:52,2022-04-10 02:48:48
2022-04-10 09:12:48,2022-04-10 09:14:06,Sitting_With_Movement,annotator,PA TYPE,2022-04-10 02:48:48,2022-04-10 02:50:06
