START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-04-14 17:03:27,2022-04-14 17:04:42,Free_Living,annotator,Experimental situation,2022-04-14 00:00:00,2022-04-14 00:01:15
2022-04-14 17:04:42,2022-04-14 17:08:06,Free_Living,annotator,Experimental situation,2022-04-14 00:01:15,2022-04-14 00:04:39
2022-04-14 17:08:06,2022-04-14 17:08:39,Free_Living,annotator,Experimental situation,2022-04-14 00:04:39,2022-04-14 00:05:12
2022-04-14 17:08:39,2022-04-14 17:08:53,Free_Living,annotator,Experimental situation,2022-04-14 00:05:12,2022-04-14 00:05:26
2022-04-14 17:08:53,2022-04-14 17:09:13,Free_Living,annotator,Experimental situation,2022-04-14 00:05:26,2022-04-14 00:05:46
2022-04-14 17:09:13,2022-04-14 17:09:33,Free_Living,annotator,Experimental situation,2022-04-14 00:05:46,2022-04-14 00:06:06
2022-04-14 17:09:33,2022-04-14 17:09:51,Free_Living,annotator,Experimental situation,2022-04-14 00:06:06,2022-04-14 00:06:24
2022-04-14 17:09:51,2022-04-14 17:10:17,Free_Living,annotator,Experimental situation,2022-04-14 00:06:24,2022-04-14 00:06:50
2022-04-14 17:10:17,2022-04-14 17:10:35,Free_Living,annotator,Experimental situation,2022-04-14 00:06:50,2022-04-14 00:07:08
2022-04-14 17:10:35,2022-04-14 17:10:50,Free_Living,annotator,Experimental situation,2022-04-14 00:07:08,2022-04-14 00:07:23
2022-04-14 17:10:50,2022-04-14 17:13:32,Free_Living,annotator,Experimental situation,2022-04-14 00:07:23,2022-04-14 00:10:05
2022-04-14 17:13:32,2022-04-14 17:13:51,Free_Living,annotator,Experimental situation,2022-04-14 00:10:05,2022-04-14 00:10:24
2022-04-14 17:13:51,2022-04-14 17:15:13,Free_Living,annotator,Experimental situation,2022-04-14 00:10:24,2022-04-14 00:11:46
2022-04-14 17:15:13,2022-04-14 17:15:29,Free_Living,annotator,Experimental situation,2022-04-14 00:11:46,2022-04-14 00:12:02
2022-04-14 17:15:29,2022-04-14 17:15:40,Free_Living,annotator,Experimental situation,2022-04-14 00:12:02,2022-04-14 00:12:13
2022-04-14 17:15:40,2022-04-14 17:17:25,Free_Living,annotator,Experimental situation,2022-04-14 00:12:13,2022-04-14 00:13:58
2022-04-14 17:17:25,2022-04-14 17:19:06,Free_Living,annotator,Experimental situation,2022-04-14 00:13:58,2022-04-14 00:15:39
2022-04-14 17:19:06,2022-04-14 17:19:28,Free_Living,annotator,Experimental situation,2022-04-14 00:15:39,2022-04-14 00:16:01
2022-04-14 17:19:28,2022-04-14 17:21:13,Free_Living,annotator,Experimental situation,2022-04-14 00:16:01,2022-04-14 00:17:46
