START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-04-16 22:41:28,2022-04-16 22:44:14,Free_Living,annotator,Experimental situation,2022-04-16 00:00:00,2022-04-16 00:02:46
2022-04-16 22:44:15,2022-04-16 22:47:29,Free_Living,annotator,Experimental situation,2022-04-16 00:02:47,2022-04-16 00:06:01
2022-04-16 22:47:30,2022-04-16 22:47:48,Free_Living,annotator,Experimental situation,2022-04-16 00:06:02,2022-04-16 00:06:20
2022-04-16 22:47:49,2022-04-16 22:48:00,Free_Living,annotator,Experimental situation,2022-04-16 00:06:21,2022-04-16 00:06:32
2022-04-16 22:48:00,2022-04-16 22:48:18,Free_Living,annotator,Experimental situation,2022-04-16 00:06:32,2022-04-16 00:06:50
2022-04-16 22:48:18,2022-04-16 22:49:43,Free_Living,annotator,Experimental situation,2022-04-16 00:06:50,2022-04-16 00:08:15
2022-04-16 22:49:44,2022-04-16 22:50:54,Free_Living,annotator,Experimental situation,2022-04-16 00:08:16,2022-04-16 00:09:26
2022-04-16 22:50:54,2022-04-16 22:53:57,Free_Living,annotator,Experimental situation,2022-04-16 00:09:26,2022-04-16 00:12:29
2022-04-16 22:53:57,2022-04-16 22:57:02,Free_Living,annotator,Experimental situation,2022-04-16 00:12:29,2022-04-16 00:15:34
2022-04-16 22:57:02,2022-04-16 23:00:10,Free_Living,annotator,Experimental situation,2022-04-16 00:15:34,2022-04-16 00:18:42
2022-04-16 23:00:10,2022-04-16 23:00:35,Free_Living,annotator,Experimental situation,2022-04-16 00:18:42,2022-04-16 00:19:07
2022-04-16 23:00:35,2022-04-16 23:02:02,Free_Living,annotator,Experimental situation,2022-04-16 00:19:07,2022-04-16 00:20:34
2022-04-16 23:02:02,2022-04-16 23:03:15,Free_Living,annotator,Experimental situation,2022-04-16 00:20:34,2022-04-16 00:21:47
2022-04-16 23:03:15,2022-04-16 23:04:19,Free_Living,annotator,Experimental situation,2022-04-16 00:21:47,2022-04-16 00:22:51
2022-04-16 23:04:19,2022-04-16 23:07:27,Free_Living,annotator,Experimental situation,2022-04-16 00:22:51,2022-04-16 00:25:59
2022-04-16 23:07:28,2022-04-16 23:08:10,Free_Living,annotator,Experimental situation,2022-04-16 00:26:00,2022-04-16 00:26:42
2022-04-16 23:08:12,2022-04-16 23:12:18,Free_Living,annotator,Experimental situation,2022-04-16 00:26:44,2022-04-16 00:30:50
2022-04-16 23:12:20,2022-04-16 23:12:35,Free_Living,annotator,Experimental situation,2022-04-16 00:30:52,2022-04-16 00:31:07
2022-04-16 23:12:35,2022-04-16 23:12:45,Free_Living,annotator,Experimental situation,2022-04-16 00:31:07,2022-04-16 00:31:17
2022-04-16 23:12:45,2022-04-16 23:12:56,Free_Living,annotator,Experimental situation,2022-04-16 00:31:17,2022-04-16 00:31:28
2022-04-16 23:12:56,2022-04-16 23:13:01,Free_Living,annotator,Experimental situation,2022-04-16 00:31:28,2022-04-16 00:31:33
2022-04-16 23:13:01,2022-04-16 23:13:15,Free_Living,annotator,Experimental situation,2022-04-16 00:31:33,2022-04-16 00:31:47
2022-04-16 23:13:16,2022-04-16 23:13:17,Free_Living,annotator,Experimental situation,2022-04-16 00:31:48,2022-04-16 00:31:49
2022-04-16 23:13:17,2022-04-16 23:13:29,Free_Living,annotator,Experimental situation,2022-04-16 00:31:49,2022-04-16 00:32:01
2022-04-16 23:13:29,2022-04-16 23:13:35,Free_Living,annotator,Experimental situation,2022-04-16 00:32:01,2022-04-16 00:32:07
2022-04-16 23:13:36,2022-04-16 23:14:26,Free_Living,annotator,Experimental situation,2022-04-16 00:32:08,2022-04-16 00:32:58
2022-04-16 23:14:27,2022-04-16 23:15:19,Free_Living,annotator,Experimental situation,2022-04-16 00:32:59,2022-04-16 00:33:51
2022-04-16 23:15:20,2022-04-16 23:16:08,Free_Living,annotator,Experimental situation,2022-04-16 00:33:52,2022-04-16 00:34:40
2022-04-16 23:16:08,2022-04-16 23:16:55,Free_Living,annotator,Experimental situation,2022-04-16 00:34:40,2022-04-16 00:35:27
2022-04-16 23:16:55,2022-04-16 23:17:27,Free_Living,annotator,Experimental situation,2022-04-16 00:35:27,2022-04-16 00:35:59
2022-04-16 23:17:28,2022-04-16 23:17:46,Free_Living,annotator,Experimental situation,2022-04-16 00:36:00,2022-04-16 00:36:18
2022-04-16 23:17:46,2022-04-16 23:18:01,Free_Living,annotator,Experimental situation,2022-04-16 00:36:18,2022-04-16 00:36:33
2022-04-16 23:18:11,2022-04-16 23:19:57,Free_Living,annotator,Experimental situation,2022-04-16 00:36:43,2022-04-16 00:38:29
2022-04-16 23:19:59,2022-04-16 23:21:27,Free_Living,annotator,Experimental situation,2022-04-16 00:38:31,2022-04-16 00:39:59
2022-04-16 23:21:33,2022-04-16 23:27:09,Free_Living,annotator,Experimental situation,2022-04-16 00:40:05,2022-04-16 00:45:41
2022-04-16 23:27:16,2022-04-16 23:28:35,Free_Living,annotator,Experimental situation,2022-04-16 00:45:48,2022-04-16 00:47:07
2022-04-16 23:28:45,2022-04-16 23:29:11,Free_Living,annotator,Experimental situation,2022-04-16 00:47:17,2022-04-16 00:47:43
2022-04-16 23:29:12,2022-04-16 23:29:53,Free_Living,annotator,Experimental situation,2022-04-16 00:47:44,2022-04-16 00:48:25
2022-04-16 23:29:55,2022-04-16 23:30:24,Free_Living,annotator,Experimental situation,2022-04-16 00:48:27,2022-04-16 00:48:56
2022-04-16 23:30:29,2022-04-16 23:31:38,Free_Living,annotator,Experimental situation,2022-04-16 00:49:01,2022-04-16 00:50:10
2022-04-16 23:31:40,2022-04-16 23:32:39,Free_Living,annotator,Experimental situation,2022-04-16 00:50:12,2022-04-16 00:51:11
2022-04-16 23:32:41,2022-04-16 23:34:42,Free_Living,annotator,Experimental situation,2022-04-16 00:51:13,2022-04-16 00:53:14
2022-04-16 23:34:42,2022-04-16 23:35:01,Free_Living,annotator,Experimental situation,2022-04-16 00:53:14,2022-04-16 00:53:33
2022-04-16 23:35:01,2022-04-16 23:37:34,Free_Living,annotator,Experimental situation,2022-04-16 00:53:33,2022-04-16 00:56:06
2022-04-16 23:37:34,2022-04-16 23:38:42,Free_Living,annotator,Experimental situation,2022-04-16 00:56:06,2022-04-16 00:57:14
2022-04-16 23:38:44,2022-04-16 23:39:01,Free_Living,annotator,Experimental situation,2022-04-16 00:57:16,2022-04-16 00:57:33
2022-04-16 23:39:01,2022-04-16 23:39:07,Free_Living,annotator,Experimental situation,2022-04-16 00:57:33,2022-04-16 00:57:39
2022-04-16 23:39:07,2022-04-16 23:39:15,Free_Living,annotator,Experimental situation,2022-04-16 00:57:39,2022-04-16 00:57:47
2022-04-16 23:39:15,2022-04-16 23:39:32,Free_Living,annotator,Experimental situation,2022-04-16 00:57:47,2022-04-16 00:58:04
2022-04-16 23:39:32,2022-04-16 23:39:42,Free_Living,annotator,Experimental situation,2022-04-16 00:58:04,2022-04-16 00:58:14
2022-04-16 23:39:42,2022-04-16 23:39:55,Free_Living,annotator,Experimental situation,2022-04-16 00:58:14,2022-04-16 00:58:27
2022-04-16 23:39:56,2022-04-16 23:40:43,Free_Living,annotator,Experimental situation,2022-04-16 00:58:28,2022-04-16 00:59:15
2022-04-16 23:40:43,2022-04-16 23:41:06,Free_Living,annotator,Experimental situation,2022-04-16 00:59:15,2022-04-16 00:59:38
2022-04-16 23:41:09,2022-04-16 23:41:44,Free_Living,annotator,Experimental situation,2022-04-16 00:59:41,2022-04-16 01:00:16
2022-04-16 23:41:44,2022-04-16 23:42:21,Free_Living,annotator,Experimental situation,2022-04-16 01:00:16,2022-04-16 01:00:53
2022-04-16 23:42:22,2022-04-16 23:43:06,Free_Living,annotator,Experimental situation,2022-04-16 01:00:54,2022-04-16 01:01:38
2022-04-16 23:43:06,2022-04-16 23:43:23,Free_Living,annotator,Experimental situation,2022-04-16 01:01:38,2022-04-16 01:01:55
2022-04-16 23:43:40,2022-04-16 23:44:05,Free_Living,annotator,Experimental situation,2022-04-16 01:02:12,2022-04-16 01:02:37
2022-04-16 23:44:05,2022-04-16 23:45:14,Free_Living,annotator,Experimental situation,2022-04-16 01:02:37,2022-04-16 01:03:46
2022-04-16 23:45:16,2022-04-16 23:45:47,Free_Living,annotator,Experimental situation,2022-04-16 01:03:48,2022-04-16 01:04:19
2022-04-16 23:45:48,2022-04-16 23:51:30,Free_Living,annotator,Experimental situation,2022-04-16 01:04:20,2022-04-16 01:10:02
2022-04-16 23:51:32,2022-04-16 23:51:47,Free_Living,annotator,Experimental situation,2022-04-16 01:10:04,2022-04-16 01:10:19
2022-04-16 23:51:48,2022-04-16 23:52:12,Free_Living,annotator,Experimental situation,2022-04-16 01:10:20,2022-04-16 01:10:44
2022-04-16 23:52:13,2022-04-16 23:52:35,Free_Living,annotator,Experimental situation,2022-04-16 01:10:45,2022-04-16 01:11:07
2022-04-16 23:52:36,2022-04-16 23:55:06,Free_Living,annotator,Experimental situation,2022-04-16 01:11:08,2022-04-16 01:13:38
2022-04-16 23:55:08,2022-04-16 23:55:33,Free_Living,annotator,Experimental situation,2022-04-16 01:13:40,2022-04-16 01:14:05
2022-04-16 23:55:34,2022-04-16 23:55:52,Free_Living,annotator,Experimental situation,2022-04-16 01:14:06,2022-04-16 01:14:24
2022-04-16 23:55:52,2022-04-16 23:56:14,Free_Living,annotator,Experimental situation,2022-04-16 01:14:24,2022-04-16 01:14:46
2022-04-16 23:56:15,2022-04-16 23:56:21,Free_Living,annotator,Experimental situation,2022-04-16 01:14:47,2022-04-16 01:14:53
2022-04-16 23:56:23,2022-04-16 23:57:07,Free_Living,annotator,Experimental situation,2022-04-16 01:14:55,2022-04-16 01:15:39
2022-04-16 23:57:08,2022-04-16 23:57:42,Free_Living,annotator,Experimental situation,2022-04-16 01:15:40,2022-04-16 01:16:14
2022-04-16 23:57:44,2022-04-16 23:58:57,Free_Living,annotator,Experimental situation,2022-04-16 01:16:16,2022-04-16 01:17:29
2022-04-16 23:58:58,2022-04-17 00:04:29,Free_Living,annotator,Experimental situation,2022-04-16 01:17:30,2022-04-16 01:23:01
2022-04-17 00:04:30,2022-04-17 00:06:22,Free_Living,annotator,Experimental situation,2022-04-16 01:23:02,2022-04-16 01:24:54
2022-04-17 00:06:26,2022-04-17 00:07:32,Free_Living,annotator,Experimental situation,2022-04-16 01:24:58,2022-04-16 01:26:04
2022-04-17 00:07:33,2022-04-17 00:11:28,Free_Living,annotator,Experimental situation,2022-04-16 01:26:05,2022-04-16 01:30:00
2022-04-17 00:11:30,2022-04-17 00:11:43,Free_Living,annotator,Experimental situation,2022-04-16 01:30:02,2022-04-16 01:30:15
2022-04-17 00:11:49,2022-04-17 00:17:05,Free_Living,annotator,Experimental situation,2022-04-16 01:30:21,2022-04-16 01:35:37
2022-04-17 00:17:06,2022-04-17 00:17:11,Free_Living,annotator,Experimental situation,2022-04-16 01:35:38,2022-04-16 01:35:43
2022-04-17 00:17:12,2022-04-17 00:26:44,Free_Living,annotator,Experimental situation,2022-04-16 01:35:44,2022-04-16 01:45:16
2022-04-17 00:26:45,2022-04-17 00:31:05,Free_Living,annotator,Experimental situation,2022-04-16 01:45:17,2022-04-16 01:49:37
2022-04-17 00:31:08,2022-04-17 00:31:30,Free_Living,annotator,Experimental situation,2022-04-16 01:49:40,2022-04-16 01:50:02
2022-04-17 00:31:30,2022-04-17 00:31:54,Free_Living,annotator,Experimental situation,2022-04-16 01:50:02,2022-04-16 01:50:26
2022-04-17 00:31:54,2022-04-17 00:32:36,Free_Living,annotator,Experimental situation,2022-04-16 01:50:26,2022-04-16 01:51:08
2022-04-17 00:32:41,2022-04-17 01:03:54,Free_Living,annotator,Experimental situation,2022-04-16 01:51:13,2022-04-16 02:22:26
2022-04-17 01:03:56,2022-04-17 01:14:12,Free_Living,annotator,Experimental situation,2022-04-16 02:22:28,2022-04-16 02:32:44
2022-04-17 01:14:13,2022-04-17 01:15:48,Free_Living,annotator,Experimental situation,2022-04-16 02:32:45,2022-04-16 02:34:20
2022-04-17 01:15:56,2022-04-17 01:25:27,Free_Living,annotator,Experimental situation,2022-04-16 02:34:28,2022-04-16 02:43:59
2022-04-17 01:25:29,2022-04-17 01:28:29,Free_Living,annotator,Experimental situation,2022-04-16 02:44:01,2022-04-16 02:47:01
2022-04-17 01:28:31,2022-04-17 01:29:08,Free_Living,annotator,Experimental situation,2022-04-16 02:47:03,2022-04-16 02:47:40
2022-04-17 01:29:09,2022-04-17 01:36:05,Free_Living,annotator,Experimental situation,2022-04-16 02:47:41,2022-04-16 02:54:37
