START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-04-18 08:48:37,2022-04-18 08:55:06,,annotator,HIGH LEVEL BEHAVIOR,2022-04-18 00:00:00,2022-04-18 00:06:29
2022-04-18 08:55:06,2022-04-18 08:56:49,,annotator,HIGH LEVEL BEHAVIOR,2022-04-18 00:06:29,2022-04-18 00:08:12
2022-04-18 08:56:49,2022-04-18 08:59:14,Dressing/Undressing,annotator,HIGH LEVEL BEHAVIOR,2022-04-18 00:08:12,2022-04-18 00:10:37
2022-04-18 08:59:14,2022-04-18 08:59:58,,annotator,HIGH LEVEL BEHAVIOR,2022-04-18 00:10:37,2022-04-18 00:11:21
2022-04-18 08:59:58,2022-04-18 09:00:06,,annotator,HIGH LEVEL BEHAVIOR,2022-04-18 00:11:21,2022-04-18 00:11:29
2022-04-18 09:00:06,2022-04-18 09:00:23,,annotator,HIGH LEVEL BEHAVIOR,2022-04-18 00:11:29,2022-04-18 00:11:46
2022-04-18 09:00:23,2022-04-18 09:00:40,,annotator,HIGH LEVEL BEHAVIOR,2022-04-18 00:11:46,2022-04-18 00:12:03
2022-04-18 09:00:40,2022-04-18 09:00:45,,annotator,HIGH LEVEL BEHAVIOR,2022-04-18 00:12:03,2022-04-18 00:12:08
2022-04-18 09:00:45,2022-04-18 09:05:52,,annotator,HIGH LEVEL BEHAVIOR,2022-04-18 00:12:08,2022-04-18 00:17:15
2022-04-18 09:05:52,2022-04-18 09:07:22,Grooming/Self_Care,annotator,HIGH LEVEL BEHAVIOR,2022-04-18 00:17:15,2022-04-18 00:18:45
2022-04-18 09:07:22,2022-04-18 09:07:48,,annotator,HIGH LEVEL BEHAVIOR,2022-04-18 00:18:45,2022-04-18 00:19:11
2022-04-18 09:07:48,2022-04-18 09:10:23,Grooming/Self_Care,annotator,HIGH LEVEL BEHAVIOR,2022-04-18 00:19:11,2022-04-18 00:21:46
2022-04-18 09:10:23,2022-04-18 09:10:57,,annotator,HIGH LEVEL BEHAVIOR,2022-04-18 00:21:46,2022-04-18 00:22:20
2022-04-18 09:10:23,2022-04-18 09:10:23,Grooming/Self_Care,annotator,HIGH LEVEL BEHAVIOR,2022-04-18 00:21:46,2022-04-18 00:21:46
2022-04-18 09:10:57,2022-04-18 09:11:52,Dressing/Undressing,annotator,HIGH LEVEL BEHAVIOR,2022-04-18 00:22:20,2022-04-18 00:23:15
2022-04-18 09:11:52,2022-04-18 09:13:06,,annotator,HIGH LEVEL BEHAVIOR,2022-04-18 00:23:15,2022-04-18 00:24:29
2022-04-18 09:13:06,2022-04-18 09:14:23,,annotator,HIGH LEVEL BEHAVIOR,2022-04-18 00:24:29,2022-04-18 00:25:46
2022-04-18 09:14:23,2022-04-18 09:18:16,,annotator,HIGH LEVEL BEHAVIOR,2022-04-18 00:25:46,2022-04-18 00:29:39
2022-04-18 09:18:16,2022-04-18 09:18:55,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-18 00:29:39,2022-04-18 00:30:18
2022-04-18 09:18:55,2022-04-18 09:19:42,In_Transit_Active, Riding_Elevator_Down,annotator,HIGH LEVEL BEHAVIOR,2022-04-18 00:30:18,2022-04-18 00:31:05
2022-04-18 09:19:42,2022-04-18 09:21:45,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-18 00:31:05,2022-04-18 00:33:08
2022-04-18 09:21:45,2022-04-18 09:21:59,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-18 00:33:08,2022-04-18 00:33:22
2022-04-18 09:21:59,2022-04-18 09:22:55,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-18 00:33:22,2022-04-18 00:34:18
2022-04-18 09:22:55,2022-04-18 09:23:08,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-18 00:34:18,2022-04-18 00:34:31
2022-04-18 09:23:08,2022-04-18 09:26:09,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-18 00:34:31,2022-04-18 00:37:32
2022-04-18 09:26:09,2022-04-18 09:36:48,Eating/Dining,annotator,HIGH LEVEL BEHAVIOR,2022-04-18 00:37:32,2022-04-18 00:48:11
2022-04-18 09:36:48,2022-04-18 09:38:35,Eating/Dining,annotator,HIGH LEVEL BEHAVIOR,2022-04-18 00:48:11,2022-04-18 00:49:58
2022-04-18 09:38:35,2022-04-18 09:57:24,Eating/Dining,annotator,HIGH LEVEL BEHAVIOR,2022-04-18 00:49:58,2022-04-18 01:08:47
2022-04-18 09:57:24,2022-04-18 09:58:03,,annotator,HIGH LEVEL BEHAVIOR,2022-04-18 01:08:47,2022-04-18 01:09:26
2022-04-18 09:58:03,2022-04-18 10:03:29,,annotator,HIGH LEVEL BEHAVIOR,2022-04-18 01:09:26,2022-04-18 01:14:52
2022-04-18 10:03:29,2022-04-18 10:04:25,,annotator,HIGH LEVEL BEHAVIOR,2022-04-18 01:14:52,2022-04-18 01:15:48
2022-04-18 10:04:25,2022-04-18 10:04:59,,annotator,HIGH LEVEL BEHAVIOR,2022-04-18 01:15:48,2022-04-18 01:16:22
