START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-04-19 08:18:18,2022-04-19 08:23:54,Grooming/Self_Care,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 00:00:00,2022-04-19 00:05:36
2022-04-19 08:23:54,2022-04-19 08:26:17,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 00:05:36,2022-04-19 00:07:59
2022-04-19 08:26:17,2022-04-19 08:27:09,,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 00:07:59,2022-04-19 00:08:51
2022-04-19 08:27:09,2022-04-19 08:28:11,,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 00:08:51,2022-04-19 00:09:53
2022-04-19 08:28:11,2022-04-19 08:29:03,,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 00:09:53,2022-04-19 00:10:45
2022-04-19 08:29:03,2022-04-19 08:29:34,,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 00:10:45,2022-04-19 00:11:16
2022-04-19 08:29:35,2022-04-19 08:29:59,,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 00:11:17,2022-04-19 00:11:41
2022-04-19 08:30:00,2022-04-19 08:31:51,,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 00:11:42,2022-04-19 00:13:33
2022-04-19 08:31:51,2022-04-19 08:32:33,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 00:13:33,2022-04-19 00:14:15
2022-04-19 08:32:33,2022-04-19 08:33:26,In_Transit_Active, Riding_Elevator_Down,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 00:14:15,2022-04-19 00:15:08
2022-04-19 08:33:26,2022-04-19 08:40:57,In_Transit_Active, Riding_Elevator_Down,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 00:15:08,2022-04-19 00:22:39
2022-04-19 08:40:57,2022-04-19 08:41:32,In_Transit_Active, Riding_Elevator_Down,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 00:22:39,2022-04-19 00:23:14
2022-04-19 08:41:32,2022-04-19 08:41:36,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 00:23:14,2022-04-19 00:23:18
2022-04-19 08:41:36,2022-04-19 08:41:51,In_Transit_Active, Riding_Elevator_Up,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 00:23:18,2022-04-19 00:23:33
2022-04-19 08:41:51,2022-04-19 08:42:47,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 00:23:33,2022-04-19 00:24:29
2022-04-19 08:42:47,2022-04-19 08:51:24,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 00:24:29,2022-04-19 00:33:06
2022-04-19 08:51:24,2022-04-19 08:53:56,,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 00:33:06,2022-04-19 00:35:38
2022-04-19 08:51:24,2022-04-19 08:51:24,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 00:33:06,2022-04-19 00:33:06
2022-04-19 08:53:56,2022-04-19 08:59:22,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 00:35:38,2022-04-19 00:41:04
2022-04-19 08:59:22,2022-04-19 09:01:04,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 00:41:04,2022-04-19 00:42:46
2022-04-19 09:01:04,2022-04-19 09:01:55,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 00:42:46,2022-04-19 00:43:37
2022-04-19 09:01:59,2022-04-19 09:03:20,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 00:43:41,2022-04-19 00:45:02
2022-04-19 09:03:20,2022-04-19 09:04:55,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 00:45:02,2022-04-19 00:46:37
2022-04-19 09:04:55,2022-04-19 09:07:13,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 00:46:37,2022-04-19 00:48:55
2022-04-19 09:07:13,2022-04-19 09:12:11,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 00:48:55,2022-04-19 00:53:53
2022-04-19 09:12:11,2022-04-19 09:20:49,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 00:53:53,2022-04-19 01:02:31
2022-04-19 09:20:49,2022-04-19 09:23:08,,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 01:02:31,2022-04-19 01:04:50
2022-04-19 09:23:08,2022-04-19 09:26:35,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 01:04:50,2022-04-19 01:08:17
2022-04-19 09:26:35,2022-04-19 09:29:28,,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 01:08:17,2022-04-19 01:11:10
2022-04-19 09:29:28,2022-04-19 09:31:44,,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 01:11:10,2022-04-19 01:13:26
2022-04-19 09:31:44,2022-04-19 09:55:44,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 01:13:26,2022-04-19 01:37:26
2022-04-19 09:55:44,2022-04-19 10:02:36,,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 01:37:26,2022-04-19 01:44:18
2022-04-19 10:02:36,2022-04-19 10:22:56,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 01:44:18,2022-04-19 02:04:38
2022-04-19 10:22:56,2022-04-19 10:31:39,,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 02:04:38,2022-04-19 02:13:21
2022-04-19 10:31:39,2022-04-19 10:45:59,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 02:13:21,2022-04-19 02:27:41
2022-04-19 10:45:59,2022-04-19 10:48:32,,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 02:27:41,2022-04-19 02:30:14
2022-04-19 10:48:32,2022-04-19 11:04:13,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 02:30:14,2022-04-19 02:45:55
2022-04-19 11:04:13,2022-04-19 11:49:41,,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 02:45:55,2022-04-19 03:31:23
2022-04-19 11:49:41,2022-04-19 11:55:08,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 03:31:23,2022-04-19 03:36:50
2022-04-19 11:55:08,2022-04-19 12:09:51,,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 03:36:50,2022-04-19 03:51:33
2022-04-19 12:09:51,2022-04-19 12:17:08,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 03:51:33,2022-04-19 03:58:50
2022-04-19 12:17:08,2022-04-19 12:21:48,,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 03:58:50,2022-04-19 04:03:30
2022-04-19 12:21:48,2022-04-19 12:22:40,,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 04:03:30,2022-04-19 04:04:22
2022-04-19 12:22:40,2022-04-19 12:23:01,,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 04:04:22,2022-04-19 04:04:43
2022-04-19 12:23:01,2022-04-19 12:23:32,,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 04:04:43,2022-04-19 04:05:14
2022-04-19 12:23:32,2022-04-19 12:24:23,,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 04:05:14,2022-04-19 04:06:05
2022-04-19 12:24:23,2022-04-19 12:26:14,,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 04:06:05,2022-04-19 04:07:56
2022-04-19 12:26:14,2022-04-19 12:26:45,,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 04:07:56,2022-04-19 04:08:27
2022-04-19 12:26:45,2022-04-19 12:27:45,,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 04:08:27,2022-04-19 04:09:27
2022-04-19 12:27:45,2022-04-19 12:30:38,,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 04:09:27,2022-04-19 04:12:20
2022-04-19 12:30:38,2022-04-19 12:31:45,,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 04:12:20,2022-04-19 04:13:27
2022-04-19 12:31:45,2022-04-19 12:33:26,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 04:13:27,2022-04-19 04:15:08
2022-04-19 12:33:26,2022-04-19 12:43:47,,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 04:15:08,2022-04-19 04:25:29
2022-04-19 12:43:47,2022-04-19 12:45:32,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 04:25:29,2022-04-19 04:27:14
2022-04-19 12:45:32,2022-04-19 12:47:12,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 04:27:14,2022-04-19 04:28:54
2022-04-19 12:47:12,2022-04-19 12:48:42,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 04:28:54,2022-04-19 04:30:24
2022-04-19 12:48:42,2022-04-19 12:50:35,,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 04:30:24,2022-04-19 04:32:17
2022-04-19 12:50:35,2022-04-19 12:53:46,,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 04:32:17,2022-04-19 04:35:28
2022-04-19 12:53:46,2022-04-19 12:55:07,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 04:35:28,2022-04-19 04:36:49
2022-04-19 12:55:07,2022-04-19 13:05:21,,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 04:36:49,2022-04-19 04:47:03
2022-04-19 13:05:21,2022-04-19 13:13:16,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 04:47:03,2022-04-19 04:54:58
2022-04-19 13:13:16,2022-04-19 13:18:07,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 04:54:58,2022-04-19 04:59:49
2022-04-19 13:18:07,2022-04-19 13:20:07,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 04:59:49,2022-04-19 05:01:49
2022-04-19 13:20:07,2022-04-19 13:20:37,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 05:01:49,2022-04-19 05:02:19
2022-04-19 13:20:37,2022-04-19 13:21:47,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 05:02:19,2022-04-19 05:03:29
2022-04-19 13:21:47,2022-04-19 13:22:17,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 05:03:29,2022-04-19 05:03:59
2022-04-19 13:22:17,2022-04-19 13:23:17,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 05:03:59,2022-04-19 05:04:59
2022-04-19 13:23:17,2022-04-19 13:23:37,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 05:04:59,2022-04-19 05:05:19
2022-04-19 13:23:37,2022-04-19 13:23:57,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 05:05:19,2022-04-19 05:05:39
2022-04-19 13:23:57,2022-04-19 13:24:27,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 05:05:39,2022-04-19 05:06:09
2022-04-19 13:24:27,2022-04-19 13:24:47,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 05:06:09,2022-04-19 05:06:29
2022-04-19 13:25:07,2022-04-19 13:26:37,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 05:06:49,2022-04-19 05:08:19
2022-04-19 13:25:07,2022-04-19 13:25:07,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 05:06:49,2022-04-19 05:06:49
2022-04-19 13:26:37,2022-04-19 13:34:50,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 05:08:19,2022-04-19 05:16:32
2022-04-19 13:34:50,2022-04-19 13:35:42,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 05:16:32,2022-04-19 05:17:24
2022-04-19 13:35:42,2022-04-19 13:36:55,Riding_Elevator_Up,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 05:17:24,2022-04-19 05:18:37
2022-04-19 13:36:55,2022-04-19 13:37:29,,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 05:18:37,2022-04-19 05:19:11
2022-04-19 13:37:29,2022-04-19 13:39:59,,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 05:19:11,2022-04-19 05:21:41
2022-04-19 13:39:59,2022-04-19 13:40:32,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 05:21:41,2022-04-19 05:22:14
2022-04-19 13:40:32,2022-04-19 13:43:29,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 05:22:14,2022-04-19 05:25:11
2022-04-19 13:43:57,2022-04-19 13:44:55,Meeting _Social_Gathering_In_Person, Eating/Dining,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 05:25:39,2022-04-19 05:26:37
2022-04-19 13:44:55,2022-04-19 13:46:13,Meeting _Social_Gathering_In_Person, Eating/Dining,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 05:26:37,2022-04-19 05:27:55
2022-04-19 13:46:14,2022-04-19 13:48:07,Meeting _Social_Gathering_In_Person, Eating/Dining,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 05:27:56,2022-04-19 05:29:49
2022-04-19 13:48:07,2022-04-19 13:48:40,Meeting _Social_Gathering_In_Person, Eating/Dining,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 05:29:49,2022-04-19 05:30:22
2022-04-19 13:48:40,2022-04-19 13:50:02,Meeting _Social_Gathering_In_Person, Eating/Dining,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 05:30:22,2022-04-19 05:31:44
2022-04-19 13:50:02,2022-04-19 13:50:58,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 05:31:44,2022-04-19 05:32:40
2022-04-19 13:50:58,2022-04-19 13:51:31,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 05:32:40,2022-04-19 05:33:13
2022-04-19 13:51:31,2022-04-19 13:52:35,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 05:33:13,2022-04-19 05:34:17
2022-04-19 13:52:35,2022-04-19 13:53:35,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 05:34:17,2022-04-19 05:35:17
2022-04-19 13:53:53,2022-04-19 13:58:56,Meeting _Social_Gathering_In_Person, Eating/Dining,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 05:35:35,2022-04-19 05:40:38
2022-04-19 13:58:56,2022-04-19 14:15:41,Meeting _Social_Gathering_In_Person, WatchingTV/Movies,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 05:40:38,2022-04-19 05:57:23
2022-04-19 14:15:41,2022-04-19 14:25:34,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-04-19 05:57:23,2022-04-19 06:07:16
