START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-04-26 11:36:52,2022-04-26 11:37:34,In_Position_Upright,annotator,POSTURE,2022-04-26 00:00:00,2022-04-26 00:00:42
2022-04-26 11:37:34,2022-04-26 11:37:59,In_Position_Upright,annotator,POSTURE,2022-04-26 00:00:42,2022-04-26 00:01:07
2022-04-26 11:37:59,2022-04-26 11:38:07,In_Position_Upright,annotator,POSTURE,2022-04-26 00:01:07,2022-04-26 00:01:15
2022-04-26 11:38:07,2022-04-26 11:38:41,In_Position_Upright,annotator,POSTURE,2022-04-26 00:01:15,2022-04-26 00:01:49
2022-04-26 11:38:41,2022-04-26 11:39:18,In_Position_Upright,annotator,POSTURE,2022-04-26 00:01:49,2022-04-26 00:02:26
2022-04-26 11:39:18,2022-04-26 11:41:17,Posture_Indecipherable/Video_Insufficient,annotator,POSTURE,2022-04-26 00:02:26,2022-04-26 00:04:25
2022-04-26 11:41:17,2022-04-26 11:45:18,In_Position_Upright,annotator,POSTURE,2022-04-26 00:04:25,2022-04-26 00:08:26
2022-04-26 11:45:18,2022-04-26 11:45:38,In_Position_Upright,annotator,POSTURE,2022-04-26 00:08:26,2022-04-26 00:08:46
2022-04-26 11:45:38,2022-04-26 11:45:43,In_Position_Upright,annotator,POSTURE,2022-04-26 00:08:46,2022-04-26 00:08:51
2022-04-26 11:45:43,2022-04-26 11:45:50,In_Position_Upright,annotator,POSTURE,2022-04-26 00:08:51,2022-04-26 00:08:58
2022-04-26 11:45:50,2022-04-26 11:45:55,In_Position_Upright,annotator,POSTURE,2022-04-26 00:08:58,2022-04-26 00:09:03
2022-04-26 11:45:55,2022-04-26 11:46:07,In_Position_Upright,annotator,POSTURE,2022-04-26 00:09:03,2022-04-26 00:09:15
2022-04-26 11:46:08,2022-04-26 11:46:57,In_Position_Upright,annotator,POSTURE,2022-04-26 00:09:16,2022-04-26 00:10:05
2022-04-26 11:46:57,2022-04-26 11:47:14,In_Position_Upright,annotator,POSTURE,2022-04-26 00:10:05,2022-04-26 00:10:22
2022-04-26 11:47:14,2022-04-26 11:47:39,In_Position_Upright,annotator,POSTURE,2022-04-26 00:10:22,2022-04-26 00:10:47
2022-04-26 11:47:39,2022-04-26 11:47:46,In_Position_Upright,annotator,POSTURE,2022-04-26 00:10:47,2022-04-26 00:10:54
2022-04-26 11:47:46,2022-04-26 11:48:20,In_Position_Upright,annotator,POSTURE,2022-04-26 00:10:54,2022-04-26 00:11:28
2022-04-26 11:48:20,2022-04-26 11:48:37,In_Position_Upright,annotator,POSTURE,2022-04-26 00:11:28,2022-04-26 00:11:45
