START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-04-25 10:16:36,2022-04-25 10:48:57,Free_Living,annotator,Experimental situation,2022-04-25 00:00:00,2022-04-25 00:32:21
2022-04-25 10:48:57,2022-04-25 10:50:06,Free_Living,annotator,Experimental situation,2022-04-25 00:32:21,2022-04-25 00:33:30
2022-04-25 10:50:13,2022-04-25 10:52:26,Free_Living,annotator,Experimental situation,2022-04-25 00:33:37,2022-04-25 00:35:50
2022-04-25 10:52:26,2022-04-25 10:52:48,Free_Living,annotator,Experimental situation,2022-04-25 00:35:50,2022-04-25 00:36:12
2022-04-25 10:52:48,2022-04-25 10:53:08,Free_Living,annotator,Experimental situation,2022-04-25 00:36:12,2022-04-25 00:36:32
2022-04-25 10:53:08,2022-04-25 10:53:27,Free_Living,annotator,Experimental situation,2022-04-25 00:36:32,2022-04-25 00:36:51
2022-04-25 10:53:27,2022-04-25 10:53:47,Free_Living,annotator,Experimental situation,2022-04-25 00:36:51,2022-04-25 00:37:11
2022-04-25 10:53:47,2022-04-25 10:53:54,Free_Living,annotator,Experimental situation,2022-04-25 00:37:11,2022-04-25 00:37:18
2022-04-25 10:53:54,2022-04-25 10:56:29,Free_Living,annotator,Experimental situation,2022-04-25 00:37:18,2022-04-25 00:39:53
2022-04-25 10:56:29,2022-04-25 10:56:34,Free_Living,annotator,Experimental situation,2022-04-25 00:39:53,2022-04-25 00:39:58
2022-04-25 10:56:34,2022-04-25 10:56:38,Free_Living,annotator,Experimental situation,2022-04-25 00:39:58,2022-04-25 00:40:02
2022-04-25 10:56:38,2022-04-25 10:57:06,Free_Living,annotator,Experimental situation,2022-04-25 00:40:02,2022-04-25 00:40:30
2022-04-25 10:57:06,2022-04-25 10:57:29,Free_Living,annotator,Experimental situation,2022-04-25 00:40:30,2022-04-25 00:40:53
2022-04-25 10:57:29,2022-04-25 10:57:38,Free_Living,annotator,Experimental situation,2022-04-25 00:40:53,2022-04-25 00:41:02
2022-04-25 10:57:38,2022-04-25 10:58:51,Free_Living,annotator,Experimental situation,2022-04-25 00:41:02,2022-04-25 00:42:15
2022-04-25 10:58:51,2022-04-25 11:00:11,Free_Living,annotator,Experimental situation,2022-04-25 00:42:15,2022-04-25 00:43:35
2022-04-25 11:00:11,2022-04-25 11:01:53,Free_Living,annotator,Experimental situation,2022-04-25 00:43:35,2022-04-25 00:45:17
2022-04-25 11:01:53,2022-04-25 11:03:35,Free_Living,annotator,Experimental situation,2022-04-25 00:45:17,2022-04-25 00:46:59
2022-04-25 11:03:35,2022-04-25 11:06:00,Free_Living,annotator,Experimental situation,2022-04-25 00:46:59,2022-04-25 00:49:24
2022-04-25 11:06:06,2022-04-25 11:06:52,Free_Living,annotator,Experimental situation,2022-04-25 00:49:30,2022-04-25 00:50:16
2022-04-25 11:06:52,2022-04-25 11:07:48,Free_Living,annotator,Experimental situation,2022-04-25 00:50:16,2022-04-25 00:51:12
2022-04-25 11:07:48,2022-04-25 11:08:27,Free_Living,annotator,Experimental situation,2022-04-25 00:51:12,2022-04-25 00:51:51
2022-04-25 11:08:27,2022-04-25 11:09:26,Free_Living,annotator,Experimental situation,2022-04-25 00:51:51,2022-04-25 00:52:50
2022-04-25 11:09:26,2022-04-25 11:09:42,Free_Living,annotator,Experimental situation,2022-04-25 00:52:50,2022-04-25 00:53:06
2022-04-25 11:09:42,2022-04-25 11:12:52,Free_Living,annotator,Experimental situation,2022-04-25 00:53:06,2022-04-25 00:56:16
2022-04-25 11:12:52,2022-04-25 11:15:17,Free_Living,annotator,Experimental situation,2022-04-25 00:56:16,2022-04-25 00:58:41
2022-04-25 11:15:17,2022-04-25 11:17:27,Free_Living,annotator,Experimental situation,2022-04-25 00:58:41,2022-04-25 01:00:51
2022-04-25 11:17:27,2022-04-25 11:18:02,Free_Living,annotator,Experimental situation,2022-04-25 01:00:51,2022-04-25 01:01:26
2022-04-25 11:18:02,2022-04-25 11:19:22,Free_Living,annotator,Experimental situation,2022-04-25 01:01:26,2022-04-25 01:02:46
2022-04-25 11:19:22,2022-04-25 11:20:50,Free_Living,annotator,Experimental situation,2022-04-25 01:02:46,2022-04-25 01:04:14
2022-04-25 11:20:50,2022-04-25 11:21:55,Free_Living,annotator,Experimental situation,2022-04-25 01:04:14,2022-04-25 01:05:19
2022-04-25 11:21:55,2022-04-25 11:23:59,Free_Living,annotator,Experimental situation,2022-04-25 01:05:19,2022-04-25 01:07:23
2022-04-25 11:23:59,2022-04-25 11:27:35,Free_Living,annotator,Experimental situation,2022-04-25 01:07:23,2022-04-25 01:10:59
2022-04-25 11:27:35,2022-04-25 11:30:01,Free_Living,annotator,Experimental situation,2022-04-25 01:10:59,2022-04-25 01:13:25
2022-04-25 11:30:01,2022-04-25 11:31:59,Free_Living,annotator,Experimental situation,2022-04-25 01:13:25,2022-04-25 01:15:23
2022-04-25 11:31:59,2022-04-25 11:33:52,Free_Living,annotator,Experimental situation,2022-04-25 01:15:23,2022-04-25 01:17:16
2022-04-25 11:33:52,2022-04-25 11:36:47,Free_Living,annotator,Experimental situation,2022-04-25 01:17:16,2022-04-25 01:20:11
2022-04-25 11:36:47,2022-04-25 11:37:15,Free_Living,annotator,Experimental situation,2022-04-25 01:20:11,2022-04-25 01:20:39
2022-04-25 11:37:15,2022-04-25 11:38:25,Free_Living,annotator,Experimental situation,2022-04-25 01:20:39,2022-04-25 01:21:49
2022-04-25 11:38:25,2022-04-25 11:41:43,Free_Living,annotator,Experimental situation,2022-04-25 01:21:49,2022-04-25 01:25:07
2022-04-25 11:41:43,2022-04-25 11:42:08,Free_Living,annotator,Experimental situation,2022-04-25 01:25:07,2022-04-25 01:25:32
2022-04-25 11:42:08,2022-04-25 11:42:38,Free_Living,annotator,Experimental situation,2022-04-25 01:25:32,2022-04-25 01:26:02
2022-04-25 11:42:38,2022-04-25 11:42:54,Free_Living,annotator,Experimental situation,2022-04-25 01:26:02,2022-04-25 01:26:18
2022-04-25 11:42:54,2022-04-25 11:43:34,Free_Living,annotator,Experimental situation,2022-04-25 01:26:18,2022-04-25 01:26:58
2022-04-25 11:43:34,2022-04-25 11:43:40,Free_Living,annotator,Experimental situation,2022-04-25 01:26:58,2022-04-25 01:27:04
2022-04-25 11:43:40,2022-04-25 11:43:58,Free_Living,annotator,Experimental situation,2022-04-25 01:27:04,2022-04-25 01:27:22
2022-04-25 11:43:58,2022-04-25 11:44:05,Free_Living,annotator,Experimental situation,2022-04-25 01:27:22,2022-04-25 01:27:29
2022-04-25 11:44:05,2022-04-25 11:44:14,Free_Living,annotator,Experimental situation,2022-04-25 01:27:29,2022-04-25 01:27:38
2022-04-25 11:44:14,2022-04-25 11:44:23,Free_Living,annotator,Experimental situation,2022-04-25 01:27:38,2022-04-25 01:27:47
2022-04-25 11:44:23,2022-04-25 11:45:05,Free_Living,annotator,Experimental situation,2022-04-25 01:27:47,2022-04-25 01:28:29
2022-04-25 11:45:05,2022-04-25 11:47:13,Free_Living,annotator,Experimental situation,2022-04-25 01:28:29,2022-04-25 01:30:37
2022-04-25 11:47:13,2022-04-25 11:47:19,Free_Living,annotator,Experimental situation,2022-04-25 01:30:37,2022-04-25 01:30:43
2022-04-25 11:47:19,2022-04-25 11:48:05,Free_Living,annotator,Experimental situation,2022-04-25 01:30:43,2022-04-25 01:31:29
2022-04-25 11:48:05,2022-04-25 11:50:05,Free_Living,annotator,Experimental situation,2022-04-25 01:31:29,2022-04-25 01:33:29
2022-04-25 11:50:05,2022-04-25 11:51:15,Free_Living,annotator,Experimental situation,2022-04-25 01:33:29,2022-04-25 01:34:39
2022-04-25 11:51:15,2022-04-25 11:51:21,Free_Living,annotator,Experimental situation,2022-04-25 01:34:39,2022-04-25 01:34:45
2022-04-25 11:51:21,2022-04-25 11:52:04,Free_Living,annotator,Experimental situation,2022-04-25 01:34:45,2022-04-25 01:35:28
2022-04-25 11:52:04,2022-04-25 11:52:06,Free_Living,annotator,Experimental situation,2022-04-25 01:35:28,2022-04-25 01:35:30
2022-04-25 11:52:06,2022-04-25 11:52:06,Free_Living,annotator,Experimental situation,2022-04-25 01:35:30,2022-04-25 01:35:30
2022-04-25 11:52:06,2022-04-25 11:52:22,Free_Living,annotator,Experimental situation,2022-04-25 01:35:30,2022-04-25 01:35:46
2022-04-25 11:52:22,2022-04-25 11:53:46,Free_Living,annotator,Experimental situation,2022-04-25 01:35:46,2022-04-25 01:37:10
2022-04-25 11:53:46,2022-04-25 11:54:00,Free_Living,annotator,Experimental situation,2022-04-25 01:37:10,2022-04-25 01:37:24
2022-04-25 11:54:01,2022-04-25 11:54:22,Free_Living,annotator,Experimental situation,2022-04-25 01:37:25,2022-04-25 01:37:46
2022-04-25 11:54:22,2022-04-25 11:54:42,Free_Living,annotator,Experimental situation,2022-04-25 01:37:46,2022-04-25 01:38:06
2022-04-25 11:54:42,2022-04-25 11:54:48,Free_Living,annotator,Experimental situation,2022-04-25 01:38:06,2022-04-25 01:38:12
2022-04-25 11:54:48,2022-04-25 11:54:58,Free_Living,annotator,Experimental situation,2022-04-25 01:38:12,2022-04-25 01:38:22
2022-04-25 11:54:58,2022-04-25 11:55:19,Free_Living,annotator,Experimental situation,2022-04-25 01:38:22,2022-04-25 01:38:43
2022-04-25 11:55:19,2022-04-25 11:55:40,Free_Living,annotator,Experimental situation,2022-04-25 01:38:43,2022-04-25 01:39:04
2022-04-25 11:55:40,2022-04-25 11:55:49,Free_Living,annotator,Experimental situation,2022-04-25 01:39:04,2022-04-25 01:39:13
2022-04-25 11:55:49,2022-04-25 11:56:02,Free_Living,annotator,Experimental situation,2022-04-25 01:39:13,2022-04-25 01:39:26
2022-04-25 11:56:02,2022-04-25 11:56:20,Free_Living,annotator,Experimental situation,2022-04-25 01:39:26,2022-04-25 01:39:44
2022-04-25 11:56:20,2022-04-25 11:57:48,Free_Living,annotator,Experimental situation,2022-04-25 01:39:44,2022-04-25 01:41:12
2022-04-25 11:57:48,2022-04-25 11:58:36,Free_Living,annotator,Experimental situation,2022-04-25 01:41:12,2022-04-25 01:42:00
2022-04-25 11:58:36,2022-04-25 12:01:57,Free_Living,annotator,Experimental situation,2022-04-25 01:42:00,2022-04-25 01:45:21
2022-04-25 12:01:57,2022-04-25 12:03:01,Free_Living,annotator,Experimental situation,2022-04-25 01:45:21,2022-04-25 01:46:25
2022-04-25 12:03:01,2022-04-25 12:03:43,Free_Living,annotator,Experimental situation,2022-04-25 01:46:25,2022-04-25 01:47:07
2022-04-25 12:03:48,2022-04-25 12:04:39,Free_Living,annotator,Experimental situation,2022-04-25 01:47:12,2022-04-25 01:48:03
2022-04-25 12:04:39,2022-04-25 12:10:44,Free_Living,annotator,Experimental situation,2022-04-25 01:48:03,2022-04-25 01:54:08
2022-04-25 12:10:44,2022-04-25 12:12:28,Free_Living,annotator,Experimental situation,2022-04-25 01:54:08,2022-04-25 01:55:52
2022-04-25 12:12:28,2022-04-25 12:13:43,Free_Living,annotator,Experimental situation,2022-04-25 01:55:52,2022-04-25 01:57:07
2022-04-25 12:13:43,2022-04-25 12:16:14,Free_Living,annotator,Experimental situation,2022-04-25 01:57:07,2022-04-25 01:59:38
2022-04-25 12:16:14,2022-04-25 12:18:03,Free_Living,annotator,Experimental situation,2022-04-25 01:59:38,2022-04-25 02:01:27
2022-04-25 12:18:03,2022-04-25 12:21:09,Free_Living,annotator,Experimental situation,2022-04-25 02:01:27,2022-04-25 02:04:33
2022-04-25 12:21:09,2022-04-25 12:21:53,Free_Living,annotator,Experimental situation,2022-04-25 02:04:33,2022-04-25 02:05:17
2022-04-25 12:21:53,2022-04-25 12:22:40,Free_Living,annotator,Experimental situation,2022-04-25 02:05:17,2022-04-25 02:06:04
2022-04-25 12:22:40,2022-04-25 12:24:28,Free_Living,annotator,Experimental situation,2022-04-25 02:06:04,2022-04-25 02:07:52
2022-04-25 12:24:28,2022-04-25 12:25:32,Free_Living,annotator,Experimental situation,2022-04-25 02:07:52,2022-04-25 02:08:56
2022-04-25 12:25:32,2022-04-25 12:28:50,Free_Living,annotator,Experimental situation,2022-04-25 02:08:56,2022-04-25 02:12:14
2022-04-25 12:28:50,2022-04-25 12:29:43,Free_Living,annotator,Experimental situation,2022-04-25 02:12:14,2022-04-25 02:13:07
2022-04-25 12:29:43,2022-04-25 12:32:27,Free_Living,annotator,Experimental situation,2022-04-25 02:13:07,2022-04-25 02:15:51
2022-04-25 12:32:27,2022-04-25 12:33:29,Free_Living,annotator,Experimental situation,2022-04-25 02:15:51,2022-04-25 02:16:53
2022-04-25 12:33:29,2022-04-25 12:43:28,Free_Living,annotator,Experimental situation,2022-04-25 02:16:53,2022-04-25 02:26:52
2022-04-25 12:43:28,2022-04-25 12:45:42,Free_Living,annotator,Experimental situation,2022-04-25 02:26:52,2022-04-25 02:29:06
2022-04-25 12:45:42,2022-04-25 12:50:07,Free_Living,annotator,Experimental situation,2022-04-25 02:29:06,2022-04-25 02:33:31
2022-04-25 12:50:07,2022-04-25 12:55:10,Free_Living,annotator,Experimental situation,2022-04-25 02:33:31,2022-04-25 02:38:34
2022-04-25 12:55:10,2022-04-25 12:58:16,Free_Living,annotator,Experimental situation,2022-04-25 02:38:34,2022-04-25 02:41:40
2022-04-25 12:58:16,2022-04-25 13:02:04,Free_Living,annotator,Experimental situation,2022-04-25 02:41:40,2022-04-25 02:45:28
2022-04-25 13:02:04,2022-04-25 13:09:21,Free_Living,annotator,Experimental situation,2022-04-25 02:45:28,2022-04-25 02:52:45
2022-04-25 13:09:21,2022-04-25 13:10:46,Free_Living,annotator,Experimental situation,2022-04-25 02:52:45,2022-04-25 02:54:10
2022-04-25 13:10:46,2022-04-25 13:15:02,Free_Living,annotator,Experimental situation,2022-04-25 02:54:10,2022-04-25 02:58:26
2022-04-25 13:15:02,2022-04-25 13:15:27,Free_Living,annotator,Experimental situation,2022-04-25 02:58:26,2022-04-25 02:58:51
2022-04-25 13:15:27,2022-04-25 13:20:19,Free_Living,annotator,Experimental situation,2022-04-25 02:58:51,2022-04-25 03:03:43
2022-04-25 13:20:19,2022-04-25 13:20:30,Free_Living,annotator,Experimental situation,2022-04-25 03:03:43,2022-04-25 03:03:54
2022-04-25 13:20:30,2022-04-25 13:22:38,Free_Living,annotator,Experimental situation,2022-04-25 03:03:54,2022-04-25 03:06:02
2022-04-25 13:22:38,2022-04-25 13:22:56,Free_Living,annotator,Experimental situation,2022-04-25 03:06:02,2022-04-25 03:06:20
2022-04-25 13:22:56,2022-04-25 13:23:41,Free_Living,annotator,Experimental situation,2022-04-25 03:06:20,2022-04-25 03:07:05
2022-04-25 13:23:42,2022-04-25 13:24:00,Free_Living,annotator,Experimental situation,2022-04-25 03:07:06,2022-04-25 03:07:24
