START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-04-30 06:59:10,2022-04-30 06:59:54,Sitting_With_Movement,annotator,PA TYPE,2022-04-30 00:00:00,2022-04-30 00:00:44
2022-04-30 06:59:54,2022-04-30 07:00:07,Walking,annotator,PA TYPE,2022-04-30 00:00:44,2022-04-30 00:00:57
2022-04-30 07:00:13,2022-04-30 07:57:04,Lying_Still,annotator,PA TYPE,2022-04-30 00:01:03,2022-04-30 00:57:54
2022-04-30 07:57:04,2022-04-30 07:57:51,Walking,annotator,PA TYPE,2022-04-30 00:57:54,2022-04-30 00:58:41
2022-04-30 07:57:51,2022-04-30 07:58:22,Standing_Still,annotator,PA TYPE,2022-04-30 00:58:41,2022-04-30 00:59:12
2022-04-30 07:58:22,2022-04-30 07:58:49,Walking,annotator,PA TYPE,2022-04-30 00:59:12,2022-04-30 00:59:39
2022-04-30 07:58:49,2022-04-30 07:59:38,Standing_Still,annotator,PA TYPE,2022-04-30 00:59:39,2022-04-30 01:00:28
2022-04-30 07:59:38,2022-04-30 08:00:12,Walking,annotator,PA TYPE,2022-04-30 01:00:28,2022-04-30 01:01:02
2022-04-30 08:00:12,2022-04-30 08:00:38,Walking,annotator,PA TYPE,2022-04-30 01:01:02,2022-04-30 01:01:28
2022-04-30 08:00:38,2022-04-30 08:01:29,Walking,annotator,PA TYPE,2022-04-30 01:01:28,2022-04-30 01:02:19
2022-04-30 08:01:29,2022-04-30 08:01:55,Walking,annotator,PA TYPE,2022-04-30 01:02:19,2022-04-30 01:02:45
2022-04-30 08:01:55,2022-04-30 08:02:41,Walking,annotator,PA TYPE,2022-04-30 01:02:45,2022-04-30 01:03:31
2022-04-30 08:02:41,2022-04-30 08:02:52,Walking,annotator,PA TYPE,2022-04-30 01:03:31,2022-04-30 01:03:42
2022-04-30 08:02:52,2022-04-30 08:04:51,Lying_With_Movement,annotator,PA TYPE,2022-04-30 01:03:42,2022-04-30 01:05:41
2022-04-30 08:04:51,2022-04-30 08:05:06,Standing_With_Movement,annotator,PA TYPE,2022-04-30 01:05:41,2022-04-30 01:05:56
2022-04-30 08:05:06,2022-04-30 08:07:12,Lying_Still,annotator,PA TYPE,2022-04-30 01:05:56,2022-04-30 01:08:02
2022-04-30 08:07:12,2022-04-30 08:11:56,Lying_Still,annotator,PA TYPE,2022-04-30 01:08:02,2022-04-30 01:12:46
2022-04-30 08:11:56,2022-04-30 08:12:11,Walking,annotator,PA TYPE,2022-04-30 01:12:46,2022-04-30 01:13:01
2022-04-30 08:12:11,2022-04-30 08:15:07,Walking,annotator,PA TYPE,2022-04-30 01:13:01,2022-04-30 01:15:57
2022-04-30 08:15:07,2022-04-30 08:15:25,Walking,annotator,PA TYPE,2022-04-30 01:15:57,2022-04-30 01:16:15
2022-04-30 08:15:25,2022-04-30 08:25:45,Lying_Still,annotator,PA TYPE,2022-04-30 01:16:15,2022-04-30 01:26:35
2022-04-30 08:25:45,2022-04-30 08:26:26,Lying_Still,annotator,PA TYPE,2022-04-30 01:26:35,2022-04-30 01:27:16
2022-04-30 08:26:26,2022-04-30 08:53:48,Lying_Still,annotator,PA TYPE,2022-04-30 01:27:16,2022-04-30 01:54:38
2022-04-30 08:53:48,2022-04-30 08:56:10,Lying_Still,annotator,PA TYPE,2022-04-30 01:54:38,2022-04-30 01:57:00
2022-04-30 08:56:10,2022-04-30 08:58:13,Lying_Still,annotator,PA TYPE,2022-04-30 01:57:00,2022-04-30 01:59:03
2022-04-30 08:58:13,2022-04-30 10:01:18,Lying_Still,annotator,PA TYPE,2022-04-30 01:59:03,2022-04-30 03:02:08
2022-04-30 10:01:18,2022-04-30 10:01:36,Walking,annotator,PA TYPE,2022-04-30 03:02:08,2022-04-30 03:02:26
2022-04-30 10:01:36,2022-04-30 10:04:14,Walking,annotator,PA TYPE,2022-04-30 03:02:26,2022-04-30 03:05:04
2022-04-30 10:04:50,2022-04-30 10:07:42,PA_Type_VideoUnavailable/Indecipherable,annotator,PA TYPE,2022-04-30 03:05:40,2022-04-30 03:08:32
2022-04-30 10:07:54,2022-04-30 10:08:11,Walking,annotator,PA TYPE,2022-04-30 03:08:44,2022-04-30 03:09:01
2022-04-30 10:08:18,2022-04-30 12:00:07,Lying_With_Movement,annotator,PA TYPE,2022-04-30 03:09:08,2022-04-30 05:00:57
2022-04-30 12:02:18,2022-04-30 12:20:00,PA_Type_VideoUnavailable/Indecipherable,annotator,PA TYPE,2022-04-30 05:03:08,2022-04-30 05:20:50
