START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-05-04 15:50:40,2022-05-04 15:51:01,Free_Living,annotator,Experimental situation,2022-05-04 00:00:14,2022-05-04 00:00:35
2022-05-04 15:51:05,2022-05-04 15:53:48,Free_Living,annotator,Experimental situation,2022-05-04 00:00:39,2022-05-04 00:03:22
2022-05-04 15:53:55,2022-05-04 15:54:45,Free_Living,annotator,Experimental situation,2022-05-04 00:03:29,2022-05-04 00:04:19
2022-05-04 15:55:23,2022-05-04 16:04:30,Free_Living,annotator,Experimental situation,2022-05-04 00:04:57,2022-05-04 00:14:04
2022-05-04 16:04:31,2022-05-04 16:15:43,Free_Living,annotator,Experimental situation,2022-05-04 00:14:05,2022-05-04 00:25:17
2022-05-04 16:15:44,2022-05-04 16:16:12,Free_Living,annotator,Experimental situation,2022-05-04 00:25:18,2022-05-04 00:25:46
2022-05-04 16:16:26,2022-05-04 16:18:42,Free_Living,annotator,Experimental situation,2022-05-04 00:26:00,2022-05-04 00:28:16
2022-05-04 16:18:45,2022-05-04 16:23:50,Free_Living,annotator,Experimental situation,2022-05-04 00:28:19,2022-05-04 00:33:24
2022-05-04 16:24:03,2022-05-04 16:27:02,Free_Living,annotator,Experimental situation,2022-05-04 00:33:37,2022-05-04 00:36:36
2022-05-04 16:27:03,2022-05-04 16:27:24,Free_Living,annotator,Experimental situation,2022-05-04 00:36:37,2022-05-04 00:36:58
2022-05-04 16:27:25,2022-05-04 16:27:52,Free_Living,annotator,Experimental situation,2022-05-04 00:36:59,2022-05-04 00:37:26
2022-05-04 16:27:55,2022-05-04 16:33:14,Free_Living,annotator,Experimental situation,2022-05-04 00:37:29,2022-05-04 00:42:48
2022-05-04 16:33:15,2022-05-04 16:33:22,Free_Living,annotator,Experimental situation,2022-05-04 00:42:49,2022-05-04 00:42:56
2022-05-04 16:33:23,2022-05-04 16:36:25,Free_Living,annotator,Experimental situation,2022-05-04 00:42:57,2022-05-04 00:45:59
2022-05-04 16:36:25,2022-05-04 16:36:29,Free_Living,annotator,Experimental situation,2022-05-04 00:45:59,2022-05-04 00:46:03
2022-05-04 16:36:46,2022-05-04 17:05:37,Free_Living,annotator,Experimental situation,2022-05-04 00:46:20,2022-05-04 01:15:11
2022-05-04 17:05:57,2022-05-04 17:08:21,Free_Living,annotator,Experimental situation,2022-05-04 01:15:31,2022-05-04 01:17:55
2022-05-04 17:08:22,2022-05-04 17:13:29,Free_Living,annotator,Experimental situation,2022-05-04 01:17:56,2022-05-04 01:23:03
2022-05-04 17:13:31,2022-05-04 17:14:11,Free_Living,annotator,Experimental situation,2022-05-04 01:23:05,2022-05-04 01:23:45
2022-05-04 17:14:11,2022-05-04 17:14:33,Free_Living,annotator,Experimental situation,2022-05-04 01:23:45,2022-05-04 01:24:07
2022-05-04 17:14:33,2022-05-04 17:16:18,Free_Living,annotator,Experimental situation,2022-05-04 01:24:07,2022-05-04 01:25:52
2022-05-04 17:16:20,2022-05-04 18:44:34,Free_Living,annotator,Experimental situation,2022-05-04 01:25:54,2022-05-04 02:54:08
2022-05-04 18:44:36,2022-05-04 18:50:02,Free_Living,annotator,Experimental situation,2022-05-04 02:54:10,2022-05-04 02:59:36
2022-05-04 18:50:06,2022-05-04 18:50:53,Free_Living,annotator,Experimental situation,2022-05-04 02:59:40,2022-05-04 03:00:27
2022-05-04 18:50:53,2022-05-04 18:56:08,Free_Living,annotator,Experimental situation,2022-05-04 03:00:27,2022-05-04 03:05:42
2022-05-04 18:56:12,2022-05-04 19:03:00,Free_Living,annotator,Experimental situation,2022-05-04 03:05:46,2022-05-04 03:12:34
2022-05-04 19:03:01,2022-05-04 19:07:35,Free_Living,annotator,Experimental situation,2022-05-04 03:12:35,2022-05-04 03:17:09
2022-05-04 19:07:56,2022-05-04 19:10:56,Free_Living,annotator,Experimental situation,2022-05-04 03:17:30,2022-05-04 03:20:30
2022-05-04 19:11:27,2022-05-04 19:22:39,Free_Living,annotator,Experimental situation,2022-05-04 03:21:01,2022-05-04 03:32:13
2022-05-04 19:22:57,2022-05-04 19:38:40,Free_Living,annotator,Experimental situation,2022-05-04 03:32:31,2022-05-04 03:48:14
2022-05-04 19:39:08,2022-05-04 19:44:32,Free_Living,annotator,Experimental situation,2022-05-04 03:48:42,2022-05-04 03:54:06
2022-05-04 19:44:58,2022-05-04 19:45:58,Free_Living,annotator,Experimental situation,2022-05-04 03:54:32,2022-05-04 03:55:32
2022-05-04 19:46:01,2022-05-04 19:47:25,Free_Living,annotator,Experimental situation,2022-05-04 03:55:35,2022-05-04 03:56:59
2022-05-04 19:47:26,2022-05-04 19:48:26,Free_Living,annotator,Experimental situation,2022-05-04 03:57:00,2022-05-04 03:58:00
2022-05-04 19:49:02,2022-05-04 19:51:36,Free_Living,annotator,Experimental situation,2022-05-04 03:58:36,2022-05-04 04:01:10
2022-05-04 19:51:37,2022-05-04 20:55:48,Free_Living,annotator,Experimental situation,2022-05-04 04:01:11,2022-05-04 05:05:22
2022-05-04 20:55:49,2022-05-04 20:59:42,Free_Living,annotator,Experimental situation,2022-05-04 05:05:23,2022-05-04 05:09:16
2022-05-04 20:59:57,2022-05-04 21:07:48,Free_Living,annotator,Experimental situation,2022-05-04 05:09:31,2022-05-04 05:17:22
2022-05-04 21:08:03,2022-05-04 21:24:22,Free_Living,annotator,Experimental situation,2022-05-04 05:17:37,2022-05-04 05:33:56
2022-05-04 21:24:28,2022-05-04 21:39:20,Free_Living,annotator,Experimental situation,2022-05-04 05:34:02,2022-05-04 05:48:54
2022-05-04 21:39:23,2022-05-04 21:56:10,Free_Living,annotator,Experimental situation,2022-05-04 05:48:57,2022-05-04 06:05:44
2022-05-04 21:56:21,2022-05-04 21:58:32,Free_Living,annotator,Experimental situation,2022-05-04 06:05:55,2022-05-04 06:08:06
2022-05-04 21:58:33,2022-05-04 21:59:11,Free_Living,annotator,Experimental situation,2022-05-04 06:08:07,2022-05-04 06:08:45
2022-05-04 21:59:11,2022-05-04 22:00:11,Free_Living,annotator,Experimental situation,2022-05-04 06:08:45,2022-05-04 06:09:45
2022-05-04 22:00:14,2022-05-04 22:02:02,Free_Living,annotator,Experimental situation,2022-05-04 06:09:48,2022-05-04 06:11:36
2022-05-04 22:02:11,2022-05-04 22:02:48,Free_Living,annotator,Experimental situation,2022-05-04 06:11:45,2022-05-04 06:12:22
2022-05-04 22:02:54,2022-05-04 22:09:30,Free_Living,annotator,Experimental situation,2022-05-04 06:12:28,2022-05-04 06:19:04
2022-05-04 22:09:32,2022-05-04 22:11:29,Free_Living,annotator,Experimental situation,2022-05-04 06:19:06,2022-05-04 06:21:03
2022-05-04 22:11:31,2022-05-04 22:14:56,Free_Living,annotator,Experimental situation,2022-05-04 06:21:05,2022-05-04 06:24:30
2022-05-04 22:14:59,2022-05-04 22:23:39,Free_Living,annotator,Experimental situation,2022-05-04 06:24:33,2022-05-04 06:33:13
2022-05-04 22:23:45,2022-05-04 22:24:59,Free_Living,annotator,Experimental situation,2022-05-04 06:33:19,2022-05-04 06:34:33
