START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-05-04 15:50:40,2022-05-04 15:51:01,Standing_With_Movement,annotator,PA TYPE,2022-05-04 00:00:14,2022-05-04 00:00:35
2022-05-04 15:51:05,2022-05-04 15:53:48,Walking_Slow,annotator,PA TYPE,2022-05-04 00:00:39,2022-05-04 00:03:22
2022-05-04 15:53:55,2022-05-04 15:54:45,PA_Type_VideoUnavailable/Indecipherable,annotator,PA TYPE,2022-05-04 00:03:29,2022-05-04 00:04:19
2022-05-04 15:55:23,2022-05-04 16:04:30,Sitting_With_Movement,annotator,PA TYPE,2022-05-04 00:04:57,2022-05-04 00:14:04
2022-05-04 16:04:31,2022-05-04 16:15:43,Sitting_With_Movement,annotator,PA TYPE,2022-05-04 00:14:05,2022-05-04 00:25:17
2022-05-04 16:15:44,2022-05-04 16:16:12,Sitting_With_Movement,annotator,PA TYPE,2022-05-04 00:25:18,2022-05-04 00:25:46
2022-05-04 16:16:26,2022-05-04 16:18:42,Walking,annotator,PA TYPE,2022-05-04 00:26:00,2022-05-04 00:28:16
2022-05-04 16:18:45,2022-05-04 16:23:50,Lying_Still,annotator,PA TYPE,2022-05-04 00:28:19,2022-05-04 00:33:24
2022-05-04 16:24:03,2022-05-04 16:27:02,Walking,annotator,PA TYPE,2022-05-04 00:33:37,2022-05-04 00:36:36
2022-05-04 16:27:03,2022-05-04 16:27:24,Standing_With_Movement,annotator,PA TYPE,2022-05-04 00:36:37,2022-05-04 00:36:58
2022-05-04 16:27:25,2022-05-04 16:27:52,Walking,annotator,PA TYPE,2022-05-04 00:36:59,2022-05-04 00:37:26
2022-05-04 16:27:55,2022-05-04 16:33:14,Walking,annotator,PA TYPE,2022-05-04 00:37:29,2022-05-04 00:42:48
2022-05-04 16:33:15,2022-05-04 16:33:22,Walking,annotator,PA TYPE,2022-05-04 00:42:49,2022-05-04 00:42:56
2022-05-04 16:33:23,2022-05-04 16:36:25,Walking,annotator,PA TYPE,2022-05-04 00:42:57,2022-05-04 00:45:59
2022-05-04 16:36:25,2022-05-04 16:36:29,Walking,annotator,PA TYPE,2022-05-04 00:45:59,2022-05-04 00:46:03
2022-05-04 16:36:46,2022-05-04 17:05:37,Sitting_With_Movement,annotator,PA TYPE,2022-05-04 00:46:20,2022-05-04 01:15:11
2022-05-04 17:05:57,2022-05-04 17:08:21,Walking,annotator,PA TYPE,2022-05-04 01:15:31,2022-05-04 01:17:55
2022-05-04 17:08:22,2022-05-04 17:13:29,Walking,annotator,PA TYPE,2022-05-04 01:17:56,2022-05-04 01:23:03
2022-05-04 17:13:31,2022-05-04 17:14:11,Walking,annotator,PA TYPE,2022-05-04 01:23:05,2022-05-04 01:23:45
2022-05-04 17:14:11,2022-05-04 17:14:33,Standing_With_Movement,annotator,PA TYPE,2022-05-04 01:23:45,2022-05-04 01:24:07
