START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-05-19 07:54:03,2022-05-19 07:57:05,Free_Living,annotator,Experimental situation,2022-05-19 00:00:03,2022-05-19 00:03:05
2022-05-19 07:57:08,2022-05-19 07:57:37,Free_Living,annotator,Experimental situation,2022-05-19 00:03:08,2022-05-19 00:03:37
2022-05-19 07:57:39,2022-05-19 07:59:07,Free_Living,annotator,Experimental situation,2022-05-19 00:03:39,2022-05-19 00:05:07
2022-05-19 07:59:08,2022-05-19 08:30:58,Free_Living,annotator,Experimental situation,2022-05-19 00:05:08,2022-05-19 00:36:58
2022-05-19 08:31:04,2022-05-19 08:31:49,Free_Living,annotator,Experimental situation,2022-05-19 00:37:04,2022-05-19 00:37:49
2022-05-19 08:31:51,2022-05-19 08:34:45,Free_Living,annotator,Experimental situation,2022-05-19 00:37:51,2022-05-19 00:40:45
2022-05-19 08:34:49,2022-05-19 08:56:58,Free_Living,annotator,Experimental situation,2022-05-19 00:40:49,2022-05-19 01:02:58
2022-05-19 08:57:02,2022-05-19 08:59:53,Free_Living,annotator,Experimental situation,2022-05-19 01:03:02,2022-05-19 01:05:53
2022-05-19 08:59:59,2022-05-19 09:02:51,Free_Living,annotator,Experimental situation,2022-05-19 01:05:59,2022-05-19 01:08:51
2022-05-19 09:02:53,2022-05-19 09:07:15,Free_Living,annotator,Experimental situation,2022-05-19 01:08:53,2022-05-19 01:13:15
2022-05-19 09:07:26,2022-05-19 09:10:06,Free_Living,annotator,Experimental situation,2022-05-19 01:13:26,2022-05-19 01:16:06
2022-05-19 09:10:11,2022-05-19 09:33:53,Free_Living,annotator,Experimental situation,2022-05-19 01:16:11,2022-05-19 01:39:53
2022-05-19 09:33:56,2022-05-19 09:34:34,Free_Living,annotator,Experimental situation,2022-05-19 01:39:56,2022-05-19 01:40:34
2022-05-19 09:34:43,2022-05-19 09:37:21,Free_Living,annotator,Experimental situation,2022-05-19 01:40:43,2022-05-19 01:43:21
2022-05-19 09:37:24,2022-05-19 09:38:24,Free_Living,annotator,Experimental situation,2022-05-19 01:43:24,2022-05-19 01:44:24
2022-05-19 09:38:27,2022-05-19 09:40:37,Free_Living,annotator,Experimental situation,2022-05-19 01:44:27,2022-05-19 01:46:37
2022-05-19 09:40:44,2022-05-19 09:42:03,Free_Living,annotator,Experimental situation,2022-05-19 01:46:44,2022-05-19 01:48:03
2022-05-19 09:42:05,2022-05-19 09:42:26,Free_Living,annotator,Experimental situation,2022-05-19 01:48:05,2022-05-19 01:48:26
2022-05-19 09:42:30,2022-05-19 09:42:48,Free_Living,annotator,Experimental situation,2022-05-19 01:48:30,2022-05-19 01:48:48
2022-05-19 09:42:50,2022-05-19 09:47:13,Free_Living,annotator,Experimental situation,2022-05-19 01:48:50,2022-05-19 01:53:13
2022-05-19 09:47:15,2022-05-19 09:48:09,Free_Living,annotator,Experimental situation,2022-05-19 01:53:15,2022-05-19 01:54:09
2022-05-19 09:48:10,2022-05-19 09:48:39,Free_Living,annotator,Experimental situation,2022-05-19 01:54:10,2022-05-19 01:54:39
2022-05-19 09:48:39,2022-05-19 09:50:33,Free_Living,annotator,Experimental situation,2022-05-19 01:54:39,2022-05-19 01:56:33
2022-05-19 09:50:42,2022-05-19 09:52:37,Free_Living,annotator,Experimental situation,2022-05-19 01:56:42,2022-05-19 01:58:37
2022-05-19 09:52:44,2022-05-19 11:30:53,Free_Living,annotator,Experimental situation,2022-05-19 01:58:44,2022-05-19 03:36:53
2022-05-19 11:31:16,2022-05-19 11:31:45,Free_Living,annotator,Experimental situation,2022-05-19 03:37:16,2022-05-19 03:37:45
2022-05-19 11:31:47,2022-05-19 11:32:07,Free_Living,annotator,Experimental situation,2022-05-19 03:37:47,2022-05-19 03:38:07
