START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-05-23 07:26:41,2022-05-23 07:28:03,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-05-23 00:00:00,2022-05-23 00:01:22
2022-05-23 07:28:03,2022-05-23 07:28:42,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-05-23 00:01:22,2022-05-23 00:02:01
2022-05-23 07:28:42,2022-05-23 07:35:31,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR,2022-05-23 00:02:01,2022-05-23 00:08:50
2022-05-23 07:35:31,2022-05-23 07:36:25,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-05-23 00:08:50,2022-05-23 00:09:44
2022-05-23 07:36:25,2022-05-23 07:40:44,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR,2022-05-23 00:09:44,2022-05-23 00:14:03
2022-05-23 07:40:44,2022-05-23 07:42:03,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-05-23 00:14:03,2022-05-23 00:15:22
2022-05-23 07:42:03,2022-05-23 07:42:36,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-05-23 00:15:22,2022-05-23 00:15:55
2022-05-23 07:42:36,2022-05-23 07:42:42,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-05-23 00:15:55,2022-05-23 00:16:01
2022-05-23 07:42:42,2022-05-23 07:42:53,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-05-23 00:16:01,2022-05-23 00:16:12
2022-05-23 07:42:53,2022-05-23 07:43:52,Grooming/Self_Care,annotator,HIGH LEVEL BEHAVIOR,2022-05-23 00:16:12,2022-05-23 00:17:11
2022-05-23 07:43:52,2022-05-23 07:44:40,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-05-23 00:17:11,2022-05-23 00:17:59
2022-05-23 07:44:40,2022-05-23 07:45:26,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR,2022-05-23 00:17:59,2022-05-23 00:18:45
2022-05-23 07:45:26,2022-05-23 07:46:00,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-05-23 00:18:45,2022-05-23 00:19:19
2022-05-23 07:46:00,2022-05-23 07:46:10,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-05-23 00:19:19,2022-05-23 00:19:29
2022-05-23 07:46:10,2022-05-23 07:46:30,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-05-23 00:19:29,2022-05-23 00:19:49
2022-05-23 07:46:30,2022-05-23 07:46:43,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-05-23 00:19:49,2022-05-23 00:20:02
2022-05-23 07:46:43,2022-05-23 07:47:32,Dressing/Undressing,annotator,HIGH LEVEL BEHAVIOR,2022-05-23 00:20:02,2022-05-23 00:20:51
2022-05-23 07:47:32,2022-05-23 07:47:47,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-05-23 00:20:51,2022-05-23 00:21:06
2022-05-23 07:47:47,2022-05-23 07:48:06,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-05-23 00:21:06,2022-05-23 00:21:25
2022-05-23 07:48:06,2022-05-23 07:48:22,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-05-23 00:21:25,2022-05-23 00:21:41
2022-05-23 07:48:22,2022-05-23 07:48:33,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-05-23 00:21:41,2022-05-23 00:21:52
2022-05-23 07:48:33,2022-05-23 07:51:57,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-05-23 00:21:52,2022-05-23 00:25:16
2022-05-23 07:51:57,2022-05-23 07:52:53,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-05-23 00:25:16,2022-05-23 00:26:12
2022-05-23 07:52:53,2022-05-23 07:53:15,In_Transit_Active, Riding_Elevator_Down,annotator,HIGH LEVEL BEHAVIOR,2022-05-23 00:26:12,2022-05-23 00:26:34
2022-05-23 07:53:15,2022-05-23 07:53:40,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-05-23 00:26:34,2022-05-23 00:26:59
2022-05-23 07:53:40,2022-05-23 07:55:14,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-05-23 00:26:59,2022-05-23 00:28:33
2022-05-23 07:55:14,2022-05-23 07:55:32,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-05-23 00:28:33,2022-05-23 00:28:51
2022-05-23 07:55:32,2022-05-23 07:55:45,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-05-23 00:28:51,2022-05-23 00:29:04
2022-05-23 07:55:45,2022-05-23 07:56:23,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-05-23 00:29:04,2022-05-23 00:29:42
2022-05-23 07:56:23,2022-05-23 07:58:39,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-05-23 00:29:42,2022-05-23 00:31:58
2022-05-23 07:58:39,2022-05-23 07:59:28,Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR,2022-05-23 00:31:58,2022-05-23 00:32:47
2022-05-23 07:59:28,2022-05-23 08:01:34,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-05-23 00:32:47,2022-05-23 00:34:53
2022-05-23 08:01:34,2022-05-23 08:02:23,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-05-23 00:34:53,2022-05-23 00:35:42
2022-05-23 08:02:23,2022-05-23 08:11:41,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-05-23 00:35:42,2022-05-23 00:45:00
2022-05-23 08:11:41,2022-05-23 08:31:04,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-05-23 00:45:00,2022-05-23 01:04:23
2022-05-23 08:31:04,2022-05-23 08:32:21,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-05-23 01:04:23,2022-05-23 01:05:40
2022-05-23 08:32:21,2022-05-23 08:33:10,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-05-23 01:05:40,2022-05-23 01:06:29
2022-05-23 08:33:10,2022-05-23 08:45:14,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-05-23 01:06:29,2022-05-23 01:18:33
2022-05-23 08:45:14,2022-05-23 08:47:51,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-05-23 01:18:33,2022-05-23 01:21:10
2022-05-23 08:47:51,2022-05-23 08:49:21,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-05-23 01:21:10,2022-05-23 01:22:40
2022-05-23 08:49:21,2022-05-23 08:50:59,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-05-23 01:22:40,2022-05-23 01:24:18
2022-05-23 08:50:59,2022-05-23 08:54:51,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-05-23 01:24:18,2022-05-23 01:28:10
2022-05-23 08:54:51,2022-05-23 08:56:29,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-05-23 01:28:10,2022-05-23 01:29:48
2022-05-23 08:56:29,2022-05-23 09:39:58,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-05-23 01:29:48,2022-05-23 02:13:17
2022-05-23 09:39:58,2022-05-23 09:41:27,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-05-23 02:13:17,2022-05-23 02:14:46
2022-05-23 09:41:27,2022-05-23 09:41:43,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,2022-05-23 02:14:46,2022-05-23 02:15:02
2022-05-23 09:41:43,2022-05-23 09:42:45,Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR,2022-05-23 02:15:02,2022-05-23 02:16:04
