START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-05-21 15:37:24,2022-05-21 15:39:06,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-05-21 00:00:06,2022-05-21 00:01:48
2022-05-21 15:39:06,2022-05-21 15:39:45,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-05-21 00:01:48,2022-05-21 00:02:27
2022-05-21 15:39:07,2022-05-21 15:39:07,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,2022-05-21 00:01:49,2022-05-21 00:01:49
2022-05-21 15:39:45,2022-05-21 16:02:22,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-05-21 00:02:27,2022-05-21 00:25:04
2022-05-21 16:02:22,2022-05-21 16:08:12,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-05-21 00:25:04,2022-05-21 00:30:54
2022-05-21 16:08:12,2022-05-21 16:16:15,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-05-21 00:30:54,2022-05-21 00:38:57
2022-05-21 16:16:15,2022-05-21 16:17:55,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-05-21 00:38:57,2022-05-21 00:40:37
2022-05-21 16:17:55,2022-05-21 16:18:56,Cleaning,annotator,HIGH LEVEL BEHAVIOR,2022-05-21 00:40:37,2022-05-21 00:41:38
2022-05-21 16:18:56,2022-05-21 16:19:17,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR,2022-05-21 00:41:38,2022-05-21 00:41:59
2022-05-21 16:19:17,2022-05-21 16:19:43,,annotator,HIGH LEVEL BEHAVIOR,2022-05-21 00:41:59,2022-05-21 00:42:25
2022-05-21 16:19:43,2022-05-21 16:20:07,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR,2022-05-21 00:42:25,2022-05-21 00:42:49
2022-05-21 16:20:07,2022-05-21 16:23:17,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR,2022-05-21 00:42:49,2022-05-21 00:45:59
2022-05-21 16:23:17,2022-05-21 16:23:49,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-05-21 00:45:59,2022-05-21 00:46:31
2022-05-21 16:23:49,2022-05-21 16:24:41,Cooking/Prepping_Food,annotator,HIGH LEVEL BEHAVIOR,2022-05-21 00:46:31,2022-05-21 00:47:23
2022-05-21 16:24:41,2022-05-21 16:26:17,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-05-21 00:47:23,2022-05-21 00:48:59
2022-05-21 16:26:17,2022-05-21 16:33:51,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR,2022-05-21 00:48:59,2022-05-21 00:56:33
2022-05-21 16:33:51,2022-05-21 16:38:34,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-05-21 00:56:33,2022-05-21 01:01:16
2022-05-21 16:38:34,2022-05-21 16:41:21,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-05-21 01:01:16,2022-05-21 01:04:03
2022-05-21 16:41:21,2022-05-21 16:42:32,Meeting _Social_Gathering_In_Person, In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-05-21 01:04:03,2022-05-21 01:05:14
2022-05-21 16:42:32,2022-05-21 16:42:49,Meeting _Social_Gathering_In_Person, Riding_Elevator_Down,annotator,HIGH LEVEL BEHAVIOR,2022-05-21 01:05:14,2022-05-21 01:05:31
2022-05-21 16:42:49,2022-05-21 16:43:17,Meeting _Social_Gathering_In_Person, In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-05-21 01:05:31,2022-05-21 01:05:59
2022-05-21 16:43:17,2022-05-21 16:48:56,Meeting _Social_Gathering_In_Person, In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-05-21 01:05:59,2022-05-21 01:11:38
2022-05-21 16:48:56,2022-05-21 16:49:49,Meeting _Social_Gathering_In_Person, In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-05-21 01:11:38,2022-05-21 01:12:31
2022-05-21 16:49:49,2022-05-21 16:50:34,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-05-21 01:12:31,2022-05-21 01:13:16
2022-05-21 16:50:34,2022-05-21 16:50:45,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-05-21 01:13:16,2022-05-21 01:13:27
2022-05-21 16:50:45,2022-05-21 16:51:16,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-05-21 01:13:27,2022-05-21 01:13:58
2022-05-21 16:51:20,2022-05-21 16:52:03,Meeting _Social_Gathering_In_Person, In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-05-21 01:14:02,2022-05-21 01:14:45
2022-05-21 16:52:03,2022-05-21 16:52:37,Meeting _Social_Gathering_In_Person, Riding_Elevator_Up,annotator,HIGH LEVEL BEHAVIOR,2022-05-21 01:14:45,2022-05-21 01:15:19
2022-05-21 16:52:37,2022-05-21 16:53:02,Meeting _Social_Gathering_In_Person, In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-05-21 01:15:19,2022-05-21 01:15:44
2022-05-21 16:53:02,2022-05-21 16:53:36,Meeting _Social_Gathering_In_Person, Cleaning,annotator,HIGH LEVEL BEHAVIOR,2022-05-21 01:15:44,2022-05-21 01:16:18
2022-05-21 16:53:36,2022-05-21 16:55:00,Meeting _Social_Gathering_In_Person, Doing_Resistance_Training,annotator,HIGH LEVEL BEHAVIOR,2022-05-21 01:16:18,2022-05-21 01:17:42
2022-05-21 16:55:00,2022-05-21 16:56:10,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR,2022-05-21 01:17:42,2022-05-21 01:18:52
2022-05-21 16:56:10,2022-05-21 16:56:57,Meeting _Social_Gathering_In_Person, Doing_Resistance_Training,annotator,HIGH LEVEL BEHAVIOR,2022-05-21 01:18:52,2022-05-21 01:19:39
2022-05-21 16:56:57,2022-05-21 16:59:23,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR,2022-05-21 01:19:39,2022-05-21 01:22:05
2022-05-21 16:59:23,2022-05-21 17:00:30,Meeting _Social_Gathering_In_Person, Doing_Resistance_Training,annotator,HIGH LEVEL BEHAVIOR,2022-05-21 01:22:05,2022-05-21 01:23:12
2022-05-21 17:00:30,2022-05-21 17:01:43,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR,2022-05-21 01:23:12,2022-05-21 01:24:25
2022-05-21 17:01:43,2022-05-21 17:02:21,Meeting _Social_Gathering_In_Person, In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-05-21 01:24:25,2022-05-21 01:25:03
2022-05-21 17:02:21,2022-05-21 17:04:35,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR,2022-05-21 01:25:03,2022-05-21 01:27:17
2022-05-21 17:04:35,2022-05-21 17:05:57,Meeting _Social_Gathering_In_Person, Doing_Resistance_Training,annotator,HIGH LEVEL BEHAVIOR,2022-05-21 01:27:17,2022-05-21 01:28:39
2022-05-21 17:05:57,2022-05-21 17:08:14,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-05-21 01:28:39,2022-05-21 01:30:56
2022-05-21 17:08:14,2022-05-21 17:09:54,Meeting _Social_Gathering_In_Person, Doing_Resistance_Training,annotator,HIGH LEVEL BEHAVIOR,2022-05-21 01:30:56,2022-05-21 01:32:36
2022-05-21 17:09:54,2022-05-21 17:11:46,Meeting _Social_Gathering_In_Person, In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-05-21 01:32:36,2022-05-21 01:34:28
2022-05-21 17:11:46,2022-05-21 17:13:44,Meeting _Social_Gathering_In_Person, Doing_Resistance_Training,annotator,HIGH LEVEL BEHAVIOR,2022-05-21 01:34:28,2022-05-21 01:36:26
2022-05-21 17:13:44,2022-05-21 17:15:31,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR,2022-05-21 01:36:26,2022-05-21 01:38:13
2022-05-21 17:15:31,2022-05-21 17:16:29,Meeting _Social_Gathering_In_Person, Doing_Resistance_Training,annotator,HIGH LEVEL BEHAVIOR,2022-05-21 01:38:13,2022-05-21 01:39:11
2022-05-21 17:16:29,2022-05-21 17:18:26,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR,2022-05-21 01:39:11,2022-05-21 01:41:08
2022-05-21 17:18:26,2022-05-21 17:18:55,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-05-21 01:41:08,2022-05-21 01:41:37
2022-05-21 17:18:55,2022-05-21 17:19:48,Meeting _Social_Gathering_In_Person, Doing_Resistance_Training,annotator,HIGH LEVEL BEHAVIOR,2022-05-21 01:41:37,2022-05-21 01:42:30
2022-05-21 17:19:48,2022-05-21 17:22:15,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR,2022-05-21 01:42:30,2022-05-21 01:44:57
2022-05-21 17:22:15,2022-05-21 17:22:45,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-05-21 01:44:57,2022-05-21 01:45:27
2022-05-21 17:22:45,2022-05-21 17:23:54,Meeting _Social_Gathering_In_Person, Doing_Resistance_Training,annotator,HIGH LEVEL BEHAVIOR,2022-05-21 01:45:27,2022-05-21 01:46:36
2022-05-21 17:23:54,2022-05-21 17:25:23,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-05-21 01:46:36,2022-05-21 01:48:05
2022-05-21 17:25:23,2022-05-21 17:26:48,Meeting _Social_Gathering_In_Person, Doing_Resistance_Training,annotator,HIGH LEVEL BEHAVIOR,2022-05-21 01:48:05,2022-05-21 01:49:30
2022-05-21 17:26:48,2022-05-21 17:27:22,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-05-21 01:49:30,2022-05-21 01:50:04
2022-05-21 17:27:22,2022-05-21 17:27:48,Cleaning,annotator,HIGH LEVEL BEHAVIOR,2022-05-21 01:50:04,2022-05-21 01:50:30
2022-05-21 17:27:48,2022-05-21 17:28:31,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,2022-05-21 01:50:30,2022-05-21 01:51:13
2022-05-21 17:28:31,2022-05-21 17:29:36,Meeting _Social_Gathering_In_Person, Doing_Resistance_Training,annotator,HIGH LEVEL BEHAVIOR,2022-05-21 01:51:13,2022-05-21 01:52:18
2022-05-21 17:29:36,2022-05-21 17:30:57,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,2022-05-21 01:52:18,2022-05-21 01:53:39
