START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_END_TIME
2022-05-30 11:17:47,2022-05-30 11:18:08,In_Position_Upright,annotator,POSTURE,2022-05-30 00:00:02,2022-05-30 00:00:23
2022-05-30 11:18:08,2022-05-30 11:18:11,In_Position_Upright,annotator,POSTURE,2022-05-30 00:00:23,2022-05-30 00:00:26
2022-05-30 11:18:11,2022-05-30 11:18:40,In_Position_Upright,annotator,POSTURE,2022-05-30 00:00:26,2022-05-30 00:00:55
2022-05-30 11:18:40,2022-05-30 11:19:03,In_Position_Upright,annotator,POSTURE,2022-05-30 00:00:55,2022-05-30 00:01:18
2022-05-30 11:19:03,2022-05-30 11:19:29,In_Position_Upright,annotator,POSTURE,2022-05-30 00:01:18,2022-05-30 00:01:44
2022-05-30 11:19:29,2022-05-30 11:19:40,In_Position_Upright,annotator,POSTURE,2022-05-30 00:01:44,2022-05-30 00:01:55
2022-05-30 11:19:40,2022-05-30 11:19:50,In_Position_Upright,annotator,POSTURE,2022-05-30 00:01:55,2022-05-30 00:02:05
2022-05-30 11:19:50,2022-05-30 11:19:57,In_Position_Upright,annotator,POSTURE,2022-05-30 00:02:05,2022-05-30 00:02:12
2022-05-30 11:19:57,2022-05-30 11:20:04,In_Position_Upright,annotator,POSTURE,2022-05-30 00:02:12,2022-05-30 00:02:19
2022-05-30 11:20:04,2022-05-30 11:20:13,In_Position_Upright,annotator,POSTURE,2022-05-30 00:02:19,2022-05-30 00:02:28
2022-05-30 11:20:13,2022-05-30 11:21:56,In_Position_Upright,annotator,POSTURE,2022-05-30 00:02:28,2022-05-30 00:04:11
2022-05-30 11:21:57,2022-05-30 11:22:51,In_Position_Upright,annotator,POSTURE,2022-05-30 00:04:12,2022-05-30 00:05:06
2022-05-30 11:22:51,2022-05-30 11:23:05,Lying_On_Stomach,annotator,POSTURE,2022-05-30 00:05:06,2022-05-30 00:05:20
2022-05-30 11:23:05,2022-05-30 11:23:09,In_Position_Upright,annotator,POSTURE,2022-05-30 00:05:20,2022-05-30 00:05:24
2022-05-30 11:23:09,2022-05-30 11:23:59,In_Position_Upright,annotator,POSTURE,2022-05-30 00:05:24,2022-05-30 00:06:14
